#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,0.1079
#BOTTOM:,749.0018
DEPTH_LSF,P16B,P16H,P16L,P22B,P22H,P22L,P28B,P28H,P28L,P34B,P34H,P34L,P40B,P40H,P40L
m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m
17.3291,1.054436,0.9619345,1.06038,1.090835,1.012002,1.09955,1.118343,1.058033,1.127126,1.136883,1.08886,1.145029,1.155188,1.109674,1.164124
17.4815,1.065456,0.9858961,1.07159,1.101548,1.038407,1.109295,1.131273,1.08644,1.138479,1.150428,1.117829,1.156475,1.165487,1.139426,1.170857
17.6339,1.07009,1.014809,1.074543,1.103532,1.052792,1.109789,1.135172,1.101074,1.140757,1.156939,1.137925,1.160576,1.16899,1.152623,1.172399
17.7863,1.080268,1.030015,1.084932,1.11773,1.083417,1.12252,1.15082,1.12929,1.154761,1.167148,1.153999,1.169838,1.171286,1.167968,1.171975
17.9387,1.080209,1.030538,1.084813,1.118187,1.082171,1.12325,1.148673,1.127257,1.152527,1.168792,1.153503,1.171967,1.186085,1.170192,1.189808
18.0911,1.083909,1.021502,1.090088,1.11811,1.061134,1.12635,1.145484,1.101114,1.153532,1.166146,1.141841,1.171165,1.187088,1.185961,1.187347
18.2435,1.087927,1.027683,1.094192,1.143626,1.111432,1.149274,1.183896,1.178792,1.185052,1.198883,1.211516,1.195805,1.207072,1.233906,1.200348
18.3959,1.090864,1.001199,1.10093,1.11979,1.072198,1.126694,1.145416,1.12665,1.148693,1.164229,1.157936,1.165476,1.181531,1.189503,1.179783
18.5483,1.086944,1.0156,1.094379,1.13309,1.093824,1.139453,1.163756,1.149701,1.166564,1.182789,1.179841,1.183451,1.209051,1.215187,1.207445
18.7007,0.9656984,0.898975,0.9656983,1.01249,0.9491113,1.013348,1.049758,0.9852747,1.053395,1.070047,0.9949365,1.076247,1.079373,0.9951957,1.087438
18.8531,1.002185,0.8949887,1.002451,1.033505,0.9293439,1.037572,1.062618,0.9756853,1.069068,1.085844,1.011666,1.093494,1.103621,1.024691,1.113751
19.0055,0.9414378,0.8116503,0.9414368,1.00112,0.861092,1.001302,1.032818,0.9013466,1.038012,1.053437,0.9315571,1.061411,1.081693,0.9655879,1.093695
19.1579,1.006529,0.9023901,1.007295,1.038105,0.9426178,1.042325,1.067453,0.9882813,1.073757,1.087838,1.019883,1.094968,1.10045,1.033118,1.108658
19.3103,1.00923,0.9342284,1.009987,1.035668,0.9797521,1.037869,1.065361,1.021072,1.068624,1.086554,1.04836,1.090348,1.095831,1.067651,1.098925
19.4627,1.024829,0.9748898,1.02617,1.053819,1.020414,1.055793,1.079684,1.06543,1.080939,1.096605,1.093449,1.096944,1.107168,1.105497,1.107368
19.6151,1.013606,0.9663547,1.014291,1.03755,1.000902,1.039038,1.063504,1.039359,1.065187,1.080749,1.064229,1.082229,1.086195,1.070494,1.087704
19.7675,1.006255,0.9276664,1.006792,1.037123,0.9738681,1.039741,1.071745,1.014708,1.076467,1.102291,1.042649,1.109636,1.125117,1.065635,1.13435
19.9199,1.042396,0.9911897,1.044798,1.074726,1.045287,1.077188,1.10225,1.094716,1.103117,1.124288,1.126553,1.123967,1.145881,1.14821,1.145484
20.0723,0.9528252,0.9510058,0.952823,0.9873435,1.053751,0.9873419,1.033481,1.086002,1.03176,1.063262,1.053102,1.063954,1.068847,1.036397,1.071337
20.2247,1.045325,0.9672998,1.049381,1.109715,1.058628,1.116457,1.173662,1.153941,1.177934,1.22482,1.231226,1.222966,1.266618,1.293772,1.257199
