#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,0.0229
#BOTTOM:,323.1109
DEPTH_WMSF,GR,ECGR
m,gAPI,gAPI
72.2605,37.4769,41.34429
72.4129,34.71649,38.30947
72.5653,33.74429,37.22458
72.7177,31.89034,35.18511
72.8701,31.83945,35.12719
73.0225,30.85638,34.04676
73.1749,31.52937,34.78556
73.3273,34.65057,38.22874
73.4797,34.11528,37.63648
73.6321,31.94676,35.25225
73.7845,31.4434,34.69629
73.9369,34.52098,38.09164
74.0893,36.72243,40.39878
74.2417,35.46429,38.81611
74.3941,35.86296,39.20467
74.5465,36.80018,40.25278
74.6989,37.65196,41.19329
74.8513,36.66075,40.10637
75.0037,38.32821,41.9285
75.1561,36.83259,40.30165
75.3085,37.52718,41.05532
75.4609,35.09364,38.33955
75.6133,35.90982,39.14901
75.7657,32.90755,35.86964
75.9181,30.34319,33.02533
76.0705,30.17975,32.79101
76.2229,32.37497,35.17172
76.3753,35.66131,38.74282
76.5277,37.46314,40.71782
76.6801,37.19311,40.41486
76.8325,35.51397,38.59465
76.9849,31.9071,34.70636
77.1373,29.9687,32.57062
77.2897,30.84698,33.53373
77.4421,31.52455,34.24909
77.5945,32.80385,35.66133
77.7469,33.30977,36.21736
77.8993,32.89143,35.76851
78.0517,32.67126,35.53974
78.2041,33.19012,36.0936
78.3565,33.65063,36.60592
78.5089,34.83802,37.90241
78.6613,34.60563,37.62962
78.8137,34.67993,37.6559
78.9661,31.85866,34.44795
79.1185,31.02931,33.5334
79.2709,32.89516,35.59921
79.4233,32.36109,35.11163
79.5757,33.21803,36.03632
79.7281,32.20826,34.94577
79.8805,34.51364,37.44146
80.0329,33.48328,36.31881
80.1853,32.24628,34.94183
80.3377,31.52049,34.51251
80.4901,31.35116,34.36829
80.6425,31.88019,34.89991
80.7949,29.55825,32.3973
80.9473,29.88505,32.82239
81.0997,31.38889,34.47456
81.2521,35.33455,38.81365
81.4045,35.12952,38.59222
81.5569,35.13247,38.6467
81.7093,32.72992,36.15323
81.8617,31.99543,35.5944
82.0141,32.73576,36.50724
82.1665,33.10861,37.02555
82.3189,32.3022,36.12428
82.4713,32.13633,35.94374
82.6237,30.97427,34.6417
82.7761,32.62316,36.46534
82.9285,31.20124,34.87353
83.0809,32.51746,36.37336
83.2333,32.52197,36.38634
83.3857,35.80512,39.4585
83.5381,36.63706,39.80637
83.6905,35.97073,39.01093
83.8429,35.0797,38.05555
83.9953,36.9205,40.05328
84.1477,36.72647,39.84776
84.3001,32.87689,35.65916
84.4525,31.56333,34.1678
84.6049,36.79993,39.71095
84.7573,40.01025,43.15757
84.9097,42.1226,45.48769
85.0621,41.42146,44.79509
85.2145,40.71212,44.17739
85.3669,37.63374,40.95575
85.5193,35.37173,38.47784
85.6717,36.5762,39.78898
85.8241,36.73709,39.96953
85.9765,35.4588,38.58433
86.1289,31.76231,34.61191
86.2813,32.93277,35.98191
86.4337,32.27802,35.27792
86.5861,32.87928,35.94479
86.7385,31.39423,34.32211
86.8909,31.66484,34.6209
87.0433,32.43868,35.45834
87.1957,33.00864,36.08549
87.3481,32.8978,35.96311
87.5005,33.72217,36.87981
87.6529,31.62052,34.6151
87.8053,32.84768,36.08002
87.9577,33.57878,36.87653
88.1101,36.42438,40.01608
88.2625,35.38838,38.87177
88.4149,33.83904,37.16501
88.5673,32.9921,36.23483
88.7197,37.04499,40.69168
88.8721,36.33786,39.94536
89.0245,34.43469,37.88498
89.1769,31.26744,34.45837
89.3293,29.57999,32.61176
89.4817,30.95848,34.11518
89.6341,29.83886,32.88464
89.7865,31.42996,34.64429
89.9389,31.95201,35.26756
90.0913,31.68431,34.98434
90.2437,32.79401,36.20859
90.3961,34.52409,38.1581
90.5485,33.16146,36.73357
90.7009,32.04748,35.41417
90.8533,30.61004,33.82572
91.0057,36.17875,40.00639
91.1581,37.22063,41.30173
91.3105,39.64293,44.13504
91.4629,36.84444,41.05961
91.6153,37.85353,42.14091
91.7677,35.39093,39.38712
91.9201,34.09238,37.93145
92.0725,31.77176,35.35187
92.2249,30.51293,33.96021
92.3773,33.26451,36.94966
92.5297,35.16119,38.99538
92.6821,34.02269,37.66483
92.8345,30.71191,33.81281
92.9869,29.42772,32.3496
93.1393,30.49816,33.52597
93.2917,32.13393,35.33258
93.4441,36.85926,40.51413
93.5965,37.99514,41.76424
93.7489,38.21243,42.00666
93.9013,35.80986,39.33093
94.0537,37.53648,41.09298
94.2061,36.21066,39.50141
94.3585,35.8575,39.10244
94.5109,34.78013,37.8948
94.6633,38.38346,41.73645
94.8157,35.54646,38.54633
94.9681,34.392,37.27418
95.1205,31.46497,34.11614
95.2729,31.86555,34.52955
95.4253,33.45414,36.30178
95.5777,34.16267,37.29652
95.7301,36.77449,40.33599
95.8825,35.42987,38.79729
96.0349,34.50932,37.76245
96.1873,33.30247,36.52276
96.3397,31.94225,34.97034
96.4921,29.93135,32.74042
96.6445,29.30037,32.05919
96.7969,31.08441,34.02095
96.9493,33.5694,36.72769
97.1017,32.22342,35.16487
97.2541,30.83284,33.61807
97.4065,31.62057,34.51165
97.5589,32.95861,35.92771
97.7113,34.00634,37.03142
97.8637,35.4648,38.59955
98.0161,36.51363,39.75119
98.1685,35.1735,38.24519
98.3209,30.65168,33.15961
98.4733,30.62226,33.07854
