#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,0.0980
#BOTTOM:,333.7017
DEPTH_WMSF,TENS,CS,ETIM
m,lbf,m/h,s
50.2376,1900.997,507.4919,520.4383
50.3900,1839.036,506.8828,521.5239
50.5424,1829.002,506.8824,522.6273
50.6948,1804.016,506.8824,523.7128
50.8472,1846.988,494.9985,524.8002
50.9996,1953.998,500.7864,525.8881
51.1520,1937.006,501.0911,526.9916
51.3044,1856.999,500.1768,528.0786
51.4568,1814.017,501.3955,529.1631
51.6092,1806,502.0056,530.2639
51.7616,1832.987,502.3102,531.349
51.9140,1951.989,505.6629,532.4364
52.0664,1987.981,505.6632,533.525
52.2188,1816.027,505.0537,534.6298
52.3712,1795.012,501.0935,535.7153
52.5236,1811.996,503.2243,536.7842
52.6760,1843.979,503.2248,537.8848
52.8284,1931.975,504.1389,538.9712
52.9808,1919.993,504.7486,540.0751
53.1332,1840.028,502.0066,541.1786
53.2856,1858,502.92,542.2578
53.4380,1856.001,503.2247,543.3521
53.5904,1838.001,502.92,544.4374
53.7428,1877.981,503.834,545.5225
53.8952,1839.004,504.4439,546.6259
54.0476,1830.005,503.8347,547.7294
54.2000,1861.995,504.7487,548.8003
54.3524,1871.994,505.0534,549.9023
54.5048,1914.99,504.7489,550.9883
54.6572,1842.048,504.7488,552.0898
54.8096,1837.001,502.9205,553.1757
54.9620,1856.002,503.2247,554.2791
55.1144,1878.992,502.6154,555.3574
55.2668,1904,502.92,556.4535
55.4192,1874.013,502.92,557.5401
55.5716,1888.999,503.5296,558.6439
55.7240,1916.987,505.0529,559.73
55.8764,1875.005,503.5298,560.8334
56.0288,1812.034,501.0925,561.9019
56.1812,1741.012,498.6532,562.9883
56.3336,1759.989,499.5667,564.0908
56.4860,1879.972,502.6145,565.1788
56.6384,1992.995,506.5772,566.2666
56.7908,1952.012,503.5305,567.3697
56.9432,1912.991,504.4437,568.4725
57.0956,1781.048,500.483,569.5581
57.2480,1713,498.348,570.644
57.4004,1762.979,500.7854,571.7388
57.5528,1867.994,503.8342,572.8179
57.7052,1994.938,508.7088,573.9205
57.8576,1908.01,505.9683,575.0229
58.0100,1831.042,501.0939,576.1254
58.1624,1784.009,501.3959,577.1958
58.3148,1727.035,499.873,578.2993
58.4672,1747.995,499.5673,579.3862
58.6196,1879.017,500.4823,580.4886
58.7720,2017.958,505.9663,581.5742
58.9244,1966.998,504.7488,582.6776
59.0768,1932.013,504.1394,583.7471
59.2292,1880,504.1392,584.834
59.3816,1785.041,501.3972,585.9195
59.5340,1819.998,500.4817,587.0225
59.6864,1897.961,501.3955,588.1254
59.8388,1945.994,502.3103,589.2139
59.9912,1918.016,501.7011,590.3009
60.1436,1845.014,501.3961,591.4038
60.2960,1855.993,501.396,592.4883
60.4484,1858.999,502.0055,593.5743
60.6008,1894.003,503.5295,594.6776
60.7532,1919.992,502.9202,595.7472
60.9056,1905.999,503.8344,596.8511
61.0580,1881.009,504.1391,597.9536
61.2104,1865,504.1392,599.04
61.3628,1850.007,504.1392,600.143
61.5152,1914.995,504.1392,601.2305
61.6676,1891.012,504.4438,602.3334
61.8200,1873.002,500.4821,603.4199
61.9724,1855.01,493.7798,604.5214
62.1248,1846.002,497.7376,605.6238
62.2772,1896.968,502.6122,606.6928
62.4296,1950.986,503.8341,607.7802
62.5820,1936.994,503.8344,608.8846
62.7344,1886.016,503.5297,609.9711
62.8868,1825.003,502.92,611.0735
63.0392,1880.979,502.006,612.1586
63.1916,1931.999,502.6152,613.2445
63.3440,1930.001,503.5292,614.331
63.4964,1917.001,502.9201,615.4354
63.6488,1915.001,503.2246,616.5389
63.8012,1878.005,500.482,617.6264
63.9536,1910.981,501.0909,618.7279
64.1060,1923.997,503.2244,619.8467
64.2584,1915.006,503.2248,620.9483
64.4108,1926.997,505.0531,622.0517
64.5632,1863.996,503.8343,623.1556
64.7156,1828.012,502.9203,624.2506
64.8680,1840,502.0056,625.345
65.0204,1843.998,501.3962,626.4471
65.1728,1914.999,503.2248,627.5505
65.3252,1965.977,503.2248,628.6535
65.4776,1926.003,503.5296,629.7574
65.6300,1914.006,502.6157,630.851
65.7824,1849.01,502.3104,631.9453
65.9348,1887.977,501.3965,633.0479
66.0872,1910.995,501.7007,634.1362
66.2396,1912.999,502.9192,635.2397
66.3920,1889.006,503.2247,636.3262
66.5444,1882.995,502.92,637.4116
66.6968,1837.015,502.3106,638.5291
66.8492,1883,502.0056,639.6321
67.0016,1897.994,501.3962,640.7361
67.1540,1933.999,502.0056,641.8409
67.3064,1960.988,502.6149,642.91
67.4588,1912.004,502.3104,644.0124
67.6112,1847.034,502.3104,645.1135
67.7636,1847,501.3961,646.2163
67.9160,1854.995,501.7006,647.3198
68.0684,1937.982,502.9197,648.4243
68.2208,1887.033,503.2246,649.5103
68.3732,1861.007,503.8342,650.5957
68.5256,1842.003,503.2248,651.6826
68.6780,1870.99,502.9201,652.9531
68.8304,1944,502.3104,654.008
68.9828,1963.992,502.6151,655.0945
69.1352,1902.002,502.3104,656.1475
69.2876,1877.012,502.3104,657.217
69.4400,1828.005,501.0913,658.3219
69.5924,1864.98,501.3958,659.3594
69.7448,1929.99,502.3102,660.4643
69.8972,1906.014,502.3104,661.5493
70.0496,1934.994,502.6151,662.6337
70.2020,1913.014,502.3106,663.7343
70.3544,1922.997,502.3104,664.8372
70.5068,1917.995,502.0056,665.9081
70.6592,1857.021,501.3962,667.0126
70.8116,1891.001,501.0912,668.101
70.9640,1927.985,500.4818,669.1871
71.1164,1932,501.7007,670.2725
71.2688,1915.008,501.7008,671.357
71.4212,1859.006,502.3103,672.4609
71.5736,1836.012,502.3104,673.5644
71.7260,1905.988,502.6151,674.6513
