#HOLE:,U1517A
#EXPEDITION:,372
#TOP:,0.1348
#BOTTOM:,203.7412
DEPTH_LSF,RES_BD,RES_BIT,RES_BM,RES_BS,RES_RING
m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m
39.4540,1.698283,1.637702,1.541695,1.57773,1.610471
39.6064,1.755977,1.62405,1.708186,1.525689,1.495017
39.7588,1.850677,1.564018,1.969702,1.703824,1.789078
39.9112,1.71189,1.589576,1.874679,1.321327,1.410069
40.0636,1.89578,1.48634,1.703586,1.426376,1.651504
40.2160,1.710617,1.598376,1.789169,1.381886,1.7997
40.3684,1.646932,1.61554,1.638773,1.426955,1.483115
40.5208,1.619982,1.620154,1.427734,1.207784,1.420853
40.6732,1.564343,1.475105,1.883016,1.37975,1.472183
40.8256,1.678534,1.514882,1.598208,1.569489,1.672582
40.9780,1.829763,1.671707,1.603985,1.540805,1.552559
41.1304,1.768749,1.576153,1.718434,1.267202,1.570996
41.2828,1.702966,1.539646,1.891329,1.472865,1.537657
41.4352,1.705528,1.744629,1.825991,1.570476,1.671493
41.5876,1.625335,1.684948,1.646478,1.146923,1.492501
41.7400,1.608972,1.435089,1.583493,1.513165,1.426695
41.8924,1.269481,1.513948,1.508585,1.158012,1.515486
42.0448,1.677212,1.527446,1.744942,1.141536,1.439735
42.1972,1.597437,1.457482,1.908103,0.9569818,1.551343
42.3496,1.703378,1.609123,1.480751,1.547977,1.946088
42.5020,1.693457,1.845678,1.591094,1.583475,1.538243
42.6544,1.884728,1.821516,1.684013,1.547091,1.797406
42.8068,1.877533,1.555851,1.725489,1.625622,1.716408
42.9592,1.650694,1.640751,2.008152,1.572519,1.771836
43.1116,1.670171,1.692472,1.770577,1.509795,1.670779
43.2640,1.629389,1.720098,1.587917,1.678717,1.599638
43.4164,1.740773,1.678797,1.787193,1.758307,1.607521
43.5688,1.696392,1.597395,1.768814,1.653367,1.807094
43.7212,2.045475,1.48351,1.903391,1.403581,1.727744
43.8736,1.936123,1.636274,2.101612,1.690891,1.81197
44.0260,1.666433,1.590431,1.766648,1.668303,1.804453
44.1784,2.121437,1.683138,1.736523,1.676337,1.530939
44.3308,1.982096,1.718051,1.858923,1.824627,1.759943
44.4832,1.689685,1.847855,2.098649,1.875313,1.901543
44.6356,2.149982,1.811486,1.811865,1.978175,1.694423
44.7880,2.081958,1.560851,1.493038,1.86156,1.478641
44.9404,1.533786,1.497254,1.647526,1.256564,1.489197
45.0928,1.096468,1.427357,1.887503,1.280265,1.468548
45.2452,1.570088,1.612455,1.701079,1.419181,1.927387
45.3976,2.285074,1.489931,1.441065,0.870047,2.032608
45.5500,1.48514,1.539021,1.735525,0.8839658,1.749444
45.7024,1.267589,1.331753,1.355366,0.9396557,1.296741
45.8548,1.311231,1.336075,1.293679,1.030622,1.272792
46.0072,1.439925,1.493883,1.164447,1.011081,1.61213
46.1596,1.678993,1.613554,1.120215,1.035398,1.319643
46.3120,1.467166,1.380501,1.317607,0.9743662,1.801069
46.4644,1.78141,1.549581,1.227297,1.058876,1.124052
46.6168,1.707949,1.366039,1.106279,0.9496418,1.661577
46.7692,1.447798,1.490368,1.258668,0.9291034,1.536103
46.9216,1.495947,1.429443,1.546621,0.7775072,1.409338
47.0740,1.479922,1.428077,1.438699,1.017748,1.512759
47.2264,1.241555,1.404356,1.428759,0.9959326,1.34325
47.3788,1.613053,1.456731,1.370862,1.025874,1.330896
47.5312,1.618627,1.377404,1.498159,1.247279,1.690228
47.6836,1.590069,1.509641,1.502489,1.260021,1.60447
47.8360,1.573407,1.498612,1.906794,1.401659,1.514109
47.9884,1.902568,1.502825,1.589435,1.433072,1.719586
48.1408,1.445448,1.478965,1.559352,1.339444,1.553612
48.2932,1.622137,1.425743,1.254151,0.9689873,1.22741
48.4456,1.586842,1.59185,1.339447,1.134985,1.709341
48.5980,1.552054,1.658482,1.54391,1.189999,1.457994
48.7504,1.993931,1.600941,1.626751,1.335165,1.716042
48.9028,1.933775,1.616624,1.469266,1.519986,1.667436
49.0552,1.858081,1.422987,1.809352,1.850958,1.233879
49.2076,1.325985,1.498347,1.611722,0.9689918,1.917332
49.3600,2.001768,1.48981,1.681702,1.339433,1.563033
49.5124,1.774964,1.501095,1.639824,1.481933,1.65322
49.6648,1.455845,1.567521,1.796691,1.291895,1.591622
49.8172,1.62074,1.568935,1.701843,1.266697,1.758547
49.9696,1.644137,1.710276,1.492404,1.587794,1.720594
50.1220,1.739364,1.721994,1.898853,1.399436,1.546903
50.2744,1.918775,1.536215,1.775907,1.4567,1.434535
50.4268,1.698942,1.586868,1.437432,1.503975,1.634641
50.5792,1.595784,1.579443,1.542886,1.484952,1.515586
50.7316,1.731838,1.736376,1.66344,1.390962,1.640481
50.8840,1.790287,1.730437,1.502459,1.493573,1.519329
51.0364,1.440101,1.576689,1.583618,1.385134,1.76911
51.1888,1.557177,1.662893,1.617819,1.499414,1.672231
51.3412,1.499976,1.476719,1.50812,1.668745,1.454444
51.4936,1.511984,1.466694,1.545558,1.362922,1.563759
51.6460,1.743159,1.499092,1.556207,1.155996,1.462608
51.7984,1.224207,1.446159,1.353688,1.343222,1.666346
51.9508,1.615055,1.45466,1.532957,1.198701,1.332664
52.1032,1.623406,1.469856,1.713648,1.268534,1.401931
52.2556,1.61648,1.456807,1.641004,1.567394,1.583004
52.4080,1.585063,1.421907,1.592659,1.523694,1.459869
52.5604,1.422136,1.610191,1.623327,1.531736,1.52976
52.7128,1.677462,1.340383,1.371026,1.443019,1.435695
52.8652,1.585154,1.504081,1.395647,1.45918,1.494942
53.0176,1.520225,1.441345,1.410349,1.487542,1.555782
