#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,0.0980
#BOTTOM:,322.4241
DEPTH_WMSF,GR,ECGR
m,gAPI,gAPI
55.2668,13.74861,14.28859
55.4192,14.93781,15.5245
55.5716,16.05777,16.68844
55.7240,17.01311,17.6813
55.8764,16.77516,17.43401
56.0288,17.4509,18.1363
56.1812,18.40283,19.12561
56.3336,16.25839,16.89695
56.4860,15.58111,16.19307
56.6384,15.81954,16.44086
56.7908,17.0112,17.67932
56.9432,18.58557,19.31553
57.0956,19.30057,20.05861
57.2480,19.53925,20.30666
57.4004,18.41745,19.1408
57.5528,18.18134,18.89542
57.7052,17.94301,18.64773
57.8576,16.14527,16.77939
58.0100,17.57555,18.26583
58.1624,15.92083,16.54613
58.3148,16.94764,17.61327
58.4672,17.90222,18.60534
58.6196,18.79968,19.53804
58.7720,17.13058,17.80339
58.9244,12.35935,12.84477
59.0768,15.27475,15.87468
59.2292,16.22755,16.8649
59.3816,16.46505,17.11172
59.5340,13.82792,14.37102
59.6864,16.92586,17.59063
59.8388,18.49602,19.22246
59.9912,19.45165,20.21563
60.1436,15.87859,16.50223
60.2960,18.12011,18.83179
60.4484,18.60115,19.33172
60.6008,22.17562,23.04658
60.7532,22.85207,23.74959
60.9056,24.51452,25.47734
61.0580,20.88453,21.70478
61.2104,19.01595,19.76281
61.3628,17.59266,18.28362
61.5152,19.60905,20.3792
61.6676,17.94322,18.64795
61.8200,20.56179,21.36937
61.9724,21.90753,22.76796
62.1248,24.05478,24.99954
62.2772,23.0758,23.98212
62.4296,22.3899,23.26927
62.5820,19.95874,20.74263
62.7344,16.8867,17.54993
62.8868,13.78611,14.32756
63.0392,14.30816,14.87012
63.1916,17.15723,17.83109
63.3440,20.49385,21.29876
63.4964,21.92348,22.78454
63.6488,18.55647,19.28528
63.8012,16.88874,17.55206
63.9536,19.20332,19.95754
64.1060,24.25379,25.20637
64.2584,27.0394,28.10139
64.4108,25.92107,26.93913
64.5632,25.92082,26.93887
64.7156,26.37339,27.40922
64.8680,26.36986,27.40555
65.0204,23.78875,24.72307
65.1728,22.93409,23.83484
65.3252,23.60516,24.53227
65.4776,24.73073,25.70204
65.6300,27.11002,28.17478
65.7824,29.808,30.97873
65.9348,34.83886,36.20717
66.0872,34.13131,35.47184
66.2396,35.69582,37.09779
66.3920,32.8412,34.13106
66.5444,36.73743,38.18032
66.6968,32.04368,33.30222
66.8492,34.80324,36.17015
67.0016,35.91474,37.32531
67.1540,40.4453,42.03381
67.3064,39.54267,41.09573
67.4588,35.95904,37.37135
67.6112,34.55932,35.91666
67.7636,31.02336,32.24182
67.9160,27.88843,28.98376
68.0684,27.61273,28.69723
68.2208,30.69772,31.90339
68.3732,32.8816,34.17305
68.5256,31.36042,32.59211
68.6780,30.66201,31.86628
68.8304,30.6619,31.86617
68.9828,35.37348,36.76279
69.1352,35.85223,37.26035
69.2876,32.14502,33.40753
69.4400,28.77675,29.90697
69.5924,29.49134,30.64963
69.7448,31.76972,33.01749
69.8972,34.09462,35.43371
70.0496,33.60779,34.92775
70.2020,35.7335,37.13695
70.3544,37.41026,38.87957
70.5068,37.62986,39.10779
70.6592,36.45689,37.88875
70.8116,33.12811,34.42923
70.9640,33.87376,35.20417
71.1164,34.11249,35.45227
71.2688,33.2151,34.51964
71.4212,30.35377,31.54593
71.5736,31.30669,32.53628
71.7260,30.1851,31.37064
71.8784,31.37637,32.60869
72.0308,29.7129,30.87989
72.1832,31.72785,32.97398
72.3356,32.9195,34.21244
72.4880,34.11237,35.45216
72.6404,31.42124,32.65532
72.7928,29.27439,30.42416
72.9452,30.21124,31.3978
73.0976,30.98488,32.20182
73.2500,32.6417,33.92372
73.4024,32.41554,33.68867
73.5548,31.7006,32.94566
73.7072,30.3537,31.54586
73.8596,29.88202,31.05566
74.0120,32.51544,33.7925
74.1644,33.40274,34.71465
74.3168,34.11806,35.45806
74.4692,32.77224,34.05939
74.6216,34.43531,35.78778
74.7740,32.62333,33.90463
74.9264,33.24236,34.54797
75.0788,33.83463,35.1635
75.2312,35.63543,37.03503
75.3836,37.7146,39.19586
75.5360,34.02064,35.35682
75.6884,32.66611,33.94909
75.8408,32.01832,33.27586
75.9932,34.40625,35.75757
76.1456,33.2844,34.59166
76.2980,32.09274,33.3532
76.4504,31.82886,33.07895
76.6028,37.43135,38.90149
76.7552,38.14873,39.64704
76.9076,35.31842,36.70557
77.0600,30.83031,32.04119
77.2124,30.83003,32.04089
77.3648,34.11005,35.44975
