#HOLE:,U1520A
#EXPEDITION:,372
#TOP:,37.6176
#BOTTOM:,99.3700
DEPTH_LSF,GRMA_FILT
m,gAPI
46.3348,45.09011
46.3653,45.6283
46.3958,46.16984
46.4263,46.70803
46.4568,47.24957
46.4872,47.57804
46.5177,47.90956
46.5482,48.23788
46.5787,48.56939
46.6092,48.90032
46.6396,49.20873
46.6701,49.52016
46.7006,49.82858
46.7311,50.14
46.7616,50.44842
46.7920,50.2704
46.8225,50.09101
46.8530,49.9105
46.8835,49.7311
46.9140,49.55059
46.9444,49.55
46.9749,49.55
47.0054,49.55
47.0359,49.55
47.0664,49.55
47.0968,49.36869
47.1273,49.18536
47.1578,49.00233
47.1883,48.82044
47.2188,48.6371
47.2492,47.68124
47.2797,46.71603
47.3102,45.76015
47.3407,44.79495
47.3712,43.83905
47.4016,43.38398
47.4321,42.9346
47.4626,42.48243
47.4931,42.03306
47.5236,41.5809
47.5540,41.69152
47.5845,41.80364
47.6150,41.91646
47.6455,42.02858
47.6760,42.1414
47.7064,43.16324
47.7369,44.1806
47.7674,45.2043
47.7979,46.22166
47.8284,47.24536
47.8588,47.38571
47.8893,47.52724
47.9198,47.6674
47.9503,47.80893
47.9808,47.9491
48.0112,47.3222
48.0417,46.68929
48.0722,46.06252
48.1027,45.42962
48.1332,44.80284
48.1636,44.16488
48.1941,43.53084
48.2246,42.89285
48.2551,42.25881
48.2856,41.62083
48.3160,41.08903
48.3465,40.56081
48.3770,40.0293
48.4075,39.50107
48.4380,38.96957
48.4684,39.64009
48.4989,40.3182
48.5294,40.98975
48.5599,41.66784
48.5904,42.34349
48.6208,41.72287
48.6513,41.09617
48.6818,40.47554
48.7123,39.84885
48.7428,39.2282
48.7732,40.00321
48.8037,40.7806
48.8342,41.56281
48.8647,42.3402
48.8952,43.12241
48.9256,43.02004
48.9561,42.91539
48.9866,42.8101
49.0171,42.70545
49.0476,42.60015
49.0780,43.40466
49.1085,44.21838
49.1390,45.03071
49.1695,45.838
49.2000,46.64984
49.2304,46.23148
49.2609,45.80902
49.2914,45.39066
49.3219,44.96821
49.3524,44.54983
49.3828,44.30763
49.4133,44.06794
49.4438,43.82677
49.4743,43.58709
49.5048,43.34592
49.5352,42.93253
49.5657,42.52102
49.5962,42.10695
49.6267,41.69544
49.6572,41.28137
49.6876,40.88771
49.7181,40.49652
49.7486,40.10291
49.7791,39.71172
49.8096,39.3181
49.8400,38.85559
49.8705,38.38853
49.9010,37.92599
49.9315,37.45894
49.9620,36.99638
49.9924,37.31517
50.0229,37.63955
50.0534,37.96079
50.0839,38.28517
50.1144,38.60642
50.1448,38.80965
50.1753,39.01107
50.2058,39.21376
50.2363,39.41518
50.2668,39.61786
50.2972,39.89768
50.3277,40.17598
50.3582,40.45601
50.3887,40.73431
50.4192,41.01434
50.4496,41.22332
50.4801,41.43428
50.5106,41.64322
50.5411,41.85418
50.5716,42.06485
50.6020,42.34923
50.6325,42.63639
50.6630,42.92077
50.6935,43.20793
50.7240,43.49231
50.7544,43.87906
50.7849,44.26394
50.8154,44.65121
50.8459,45.03608
50.8764,45.42334
50.9068,45.10776
50.9373,44.79178
50.9678,44.47383
50.9983,44.15786
51.0288,43.83992
51.0592,43.56557
51.0897,43.2886
51.1202,43.0121
51.1507,42.73732
51.1812,42.46069
51.2116,41.76926
51.2421,41.07106
51.2726,40.37961
51.3031,39.68142
51.3336,38.98996
51.3640,38.4704
51.3945,37.95507
51.4250,37.43654
51.4555,36.91709
51.4860,36.40267
51.5164,36.34632
51.5469,36.29213
51.5774,36.23761
51.6079,36.18342
51.6384,36.12889
51.6688,36.07174
51.6993,36.01493
51.7298,35.95777
51.7603,35.90096
51.7908,35.8438
51.8212,36.22569
51.8517,36.61144
51.8822,36.99346
51.9127,37.3792
51.9432,37.76123
51.9736,37.31465
52.0041,36.86191
52.0346,36.41356
52.0651,35.96083
52.0956,35.51247
52.1260,34.68335
52.1565,33.85764
52.1870,33.02678
52.2175,32.20106
52.2480,31.37022
