#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,1.3271
#BOTTOM:,748.5446
DEPTH_LSF,BPHI,TNPH
m,%,%
99.1680,65.3865,66.1281
99.3204,67.7365,70.4542
99.4728,64.1770,63.3994
99.6252,69.8843,75.0470
99.7776,66.5425,68.9332
99.9300,68.5684,74.0694
100.0824,61.3762,60.8698
100.2348,60.0805,58.2248
100.3872,60.9287,60.1089
100.5396,59.8820,57.0314
100.6920,69.7448,75.7591
100.8444,65.3713,65.4044
100.9968,66.8709,67.1743
101.1492,70.6944,74.7304
101.3016,67.0103,66.8195
101.4540,68.4687,69.1194
101.6064,71.1934,76.0864
101.7588,69.9106,74.1246
101.9112,66.1837,67.2841
102.0636,64.6193,64.8995
102.2160,59.1574,56.9201
102.3684,69.0952,78.6580
102.5208,53.1312,48.9179
102.6732,57.4299,55.5501
102.8256,60.0085,60.4096
102.9780,61.7289,62.4422
103.1304,66.0102,69.3788
103.2828,65.6942,68.6511
103.4352,68.4815,75.3914
103.5876,59.5970,57.6125
103.7400,66.0101,68.9560
103.8924,63.4950,64.3901
104.0448,70.0652,79.0950
104.1972,65.7151,68.2073
104.3496,68.5062,71.7003
104.5020,69.0218,69.4082
104.6544,76.1171,80.4689
104.8068,82.1803,89.2861
104.9592,79.1237,76.1842
105.1116,81.5078,77.7895
105.2640,81.0164,76.2053
105.4164,82.3421,78.7973
105.5688,79.5315,73.3987
105.7212,78.9958,74.8935
105.8736,78.8869,79.1472
106.0260,76.2169,77.9052
106.1784,74.9221,79.5493
106.3308,69.3542,69.4834
106.4832,67.7804,69.4176
106.6356,68.0962,72.1509
106.7880,66.6918,69.0754
106.9404,65.3787,66.6829
107.0928,67.7418,73.2784
107.2452,64.3388,66.7406
107.3976,64.1921,67.5766
107.5500,65.9848,71.9718
107.7024,59.2693,59.9725
107.8548,61.6945,64.1888
108.0072,57.9385,57.5959
108.1596,65.5548,73.7229
108.3120,61.3702,64.2186
108.4644,59.4263,59.4833
108.6168,59.4694,59.6479
108.7692,68.6962,78.9025
108.9216,63.3388,66.3051
109.0740,69.5302,80.2990
109.2264,62.1779,63.6112
109.3788,63.6789,68.0023
