#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,0.0980
#BOTTOM:,323.4909
DEPTH_WMSF,HSGR,HCGR,HFK,HTHO,HURA,HBHK
m,gAPI,gAPI,%,ppm,ppm,%
25.2440,2.699893,1.562331,0.04941509,0.2114222,0.105981,-999.25
25.3964,2.564261,1.523351,0.04344767,0.2338663,0.08402928,-999.25
25.5488,3.581401,2.643158,0.06587,0.4614918,0.078973,-999.25
25.7012,3.60544,2.496224,0.06623685,0.4122512,0.09958073,-999.25
25.8536,3.351576,2.421715,0.05903886,0.4305126,0.0655175,-999.25
26.0060,2.450268,1.786857,0.04160396,0.3291146,0.0173175,-999.25
26.1584,2.359338,1.495178,0.0356321,0.2705939,0.05623051,-999.25
26.3108,2.246116,1.196045,0.0266036,0.22758,0.06825693,-999.25
26.4632,2.786698,1.133302,0.02820193,0.1981132,0.1160641,-999.25
26.6156,2.280555,1.109253,0.02730853,0.195636,0.07528997,-999.25
26.7680,2.386775,1.438951,0.03763661,0.2408377,0.05470084,-999.25
26.9204,2.13925,1.448123,0.03218472,0.2756961,0.03011532,-999.25
27.0728,2.49052,1.938588,0.04191395,0.3759296,0.01598435,-999.25
27.2252,3.308999,2.212732,0.04852473,0.4250897,0.05625312,-999.25
27.3776,3.727191,2.800029,0.06800878,0.4992474,0.01104609,-999.25
27.5300,3.218686,2.316808,0.05279557,0.4334421,0.04787285,-999.25
27.6824,2.365505,1.832777,0.04177438,0.3428344,0.02943531,-999.25
27.8348,2.097887,1.998159,0.03848348,0.4151066,-0.0181553,-999.25
27.9872,2.448944,2.180485,0.04554165,0.4322196,0.02088887,-999.25
28.1396,3.076445,2.734245,0.05824567,0.535323,0.02798072,-999.25
28.2920,3.589325,3.279295,0.07314204,0.6227993,0.02112789,-999.25
28.4444,4.035876,3.323421,0.0710217,0.6493556,0.05917576,-999.25
28.5968,3.704605,3.068246,0.07029443,0.5718296,0.0585565,-999.25
28.7492,3.07818,2.345054,0.05657781,0.4203511,0.0879024,-999.25
28.9016,3.067375,2.235632,0.04873983,0.4311696,0.1001965,-999.25
29.0540,3.321589,2.222882,0.04487047,0.4497371,0.1478952,-999.25
29.2064,4.088738,2.731397,0.06931015,0.4696314,0.1808396,-999.25
