#HOLE:,U1517A
#EXPEDITION:,372
#TOP:,0.1348
#BOTTOM:,205.4176
DEPTH_LSF,RPM_GVR
m,c/min
155.7352,53.99899
155.8876,50.00026
156.0400,55.99994
156.1924,53.0006
156.3448,48.99861
156.4972,46.99969
156.6496,46
156.8020,40
156.9544,47.99961
157.1068,45.99961
157.2592,44.99964
157.4116,43.00018
157.5640,40.00291
157.7164,49.00024
157.8688,55.99884
158.0212,47.00041
158.1736,50.99998
158.3260,50.00076
158.4784,48
158.6308,49
158.7832,52
158.9356,53
159.0880,50.99989
159.2404,52
159.3928,48.00016
159.5452,54.99889
159.6976,52.4998
159.8500,53.99989
160.0024,54
160.1548,54.99874
160.3072,52
160.4596,53.00001
160.6120,53.00015
160.7644,52
160.9168,53
161.0692,51.00005
161.2216,56
161.3740,50.9999
161.5264,46.99982
161.6788,45.00022
161.8312,46.0001
161.9836,44.00035
162.1360,46.49919
162.2884,48.99934
162.4408,43.99995
162.5932,48.99948
162.7456,37
162.8980,45.00033
163.0504,45.99914
163.2028,40.00051
163.3552,43
163.5076,43.00017
163.6600,43
163.8124,45
163.9648,42.99984
164.1172,42.00038
164.2696,44.00025
164.4220,47.00004
164.5744,47.00016
164.7268,43.00044
164.8792,41.00019
165.0316,44
165.1840,41
165.3364,39.00014
165.4888,44.4999
165.6412,47
165.7936,50
165.9460,49.99993
166.0984,54
166.2508,52
166.4032,47.00032
166.5556,48.49978
166.7080,53.99919
166.8604,55.99969
167.0128,48.99997
167.1652,52.5
167.3176,53
167.4700,53.00015
167.6224,49.50071
167.7748,53
167.9272,53
168.0796,55
168.2320,54.99992
168.3844,54
168.5368,54.9997
168.6892,56
168.8416,50.00016
168.9940,52.99971
169.1464,54.99985
169.2988,54.99986
169.4512,48.99927
169.6036,53
169.7560,50.0005
169.9084,55.99998
170.0608,52
170.2132,50.00085
170.3656,49.00006
170.5180,52.00008
170.6704,55
170.8228,51
170.9752,54.99944
171.1276,48.99958
171.2800,54.00002
171.4324,56.99968
171.5848,51
171.7372,53
171.8896,54.99986
172.0420,50
172.1944,54.00027
172.3468,55.99879
172.4992,51.0004
172.6516,53.99987
172.8040,51.0006
172.9564,55
173.1088,49.00046
173.2612,52.00026
173.4136,53.99987
173.5660,54.99968
173.7184,56.99969
173.8708,56.00012
174.0232,50
174.1756,52.00029
174.3280,56.99959
174.4804,49.00075
174.6328,52.99975
174.7852,56
174.9376,51.49994
175.0900,48.00001
175.2424,47.00024
175.3948,49.00048
175.5472,51.49957
175.6996,49.99999
175.8520,50.00048
176.0044,54
176.1568,52
176.3092,49.00002
176.4616,55.99977
176.6140,52.00012
176.7664,52.00047
176.9188,56.99931
177.0712,57
177.2236,57
177.3760,58.99972
177.5284,58
177.6808,55.00011
177.8332,56
177.9856,54
178.1380,53.99989
178.2904,53.00034
178.4428,58
178.5952,58.50005
178.7476,57.00011
178.9000,54
179.0524,54
179.2048,55
179.3572,54.99967
179.5096,49.49994
179.6620,55
179.8144,51
179.9668,49
180.1192,52
180.2716,51
180.4240,55
180.5764,57
180.7288,50.00088
180.8812,52
181.0336,56.50005
181.1860,51.49995
181.3384,53
181.4908,52
181.6432,47
181.7956,48.99957
181.9480,48
182.1004,50
182.2528,47
182.4052,50
182.5576,48.99989
182.7100,51
182.8624,49.99979
183.0148,48
183.1672,49.99947
183.3196,46.00011
183.4720,45.00032
183.6244,44
183.7768,46
183.9292,45.00011
184.0816,46
184.2340,47
184.3864,48
184.5388,45
184.6912,48.99968
184.8436,47.00011
184.9960,50
185.1484,47.00003
185.3008,46
185.4532,48.99948
185.6056,46
185.7580,45.0001
185.9104,48
186.0628,48
186.2152,46.9999
186.3676,47
186.5200,46.0001
186.6724,44.00042
186.8248,48
186.9772,44.00031
187.1296,48
187.2820,46
187.4344,46
187.5868,46
187.7392,44
187.8916,48
188.0440,46
188.1964,46
188.3488,38.0002
188.5012,42.0002
188.6536,44.9997
188.8060,45.9997
188.9584,40
189.1108,48.9991
189.2632,46.0001
189.4156,47.9995
189.5680,41
189.7204,47
189.8728,49.9996
190.0252,48
190.1776,48.0002
190.3300,45.99995
190.4824,47
190.6348,50
190.7872,64
190.9396,66
191.0920,60
191.2444,62
191.3968,56.0002
191.5492,63
191.7016,60.50034
191.8540,61
192.0064,60
192.1588,62
192.3112,60.9999
192.4636,60.00068
192.6160,66
192.7684,63
192.9208,62.00029
193.0732,61
193.2256,60
193.3780,63.0001
193.5304,61
193.6828,67
193.8352,67
193.9876,67
194.1400,65
194.2924,62.0001
194.4448,61
194.5972,66
194.7496,63
194.9020,59
195.0544,60
195.2068,61.00019
195.3592,64
195.5116,59
195.6640,58
195.8164,64
195.9688,64
196.1212,59
196.2736,62.00018
196.4260,64
196.5784,62.00028
196.7308,66
196.8832,66
197.0356,61.50005
197.1880,65.99973
197.3404,68
197.4928,69.99844
197.6452,51.99982
197.7976,55
197.9500,49.00027
198.1024,53.99973
198.2548,44
198.4072,56
198.5596,49
198.7120,47.99991
198.8644,43
199.0168,50
199.1692,53
199.3216,47.00045
199.4740,45
199.6264,48
199.7788,45.00045
199.9312,52
200.0836,51
200.2360,65
200.3884,47.99982
200.5408,51.99956
200.6932,57
200.8456,51.00018
200.9980,53
201.1504,58
201.3028,57
201.4552,57
201.6076,53.00035
201.7600,58
201.9124,61
202.0648,57
202.2172,57
202.3696,58.99974
202.5220,57.00026
202.6744,59.99991
202.8268,58
202.9792,59
203.1316,57
203.2840,56
203.4364,55
203.5888,55
203.7412,50.00034
203.8936,55
