#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,1.0223
#BOTTOM:,748.8494
DEPTH_LSF,RHON
m,g/cm3
175.3680,1.780093
175.5204,1.781384
175.6728,1.77601
175.8252,1.778988
175.9776,1.79669
176.1300,1.794743
176.2824,1.818515
176.4348,1.831591
176.5872,1.845271
176.7396,1.84664
176.8920,1.842238
177.0444,1.828317
177.1968,1.808049
177.3492,1.797901
177.5016,1.758619
177.6540,1.749125
177.8064,1.710775
177.9588,1.685627
178.1112,1.705875
178.2636,1.702845
178.4160,1.67099
178.5684,1.653446
178.7208,1.603761
178.8732,1.568504
179.0256,1.542495
179.1780,1.545714
179.3304,1.570946
179.4828,1.623388
179.6352,1.645938
179.7876,1.684343
179.9400,1.698756
180.0924,1.719614
180.2448,1.717704
180.3972,1.756733
180.5496,1.750522
180.7020,1.757352
180.8544,1.772965
181.0068,1.769754
181.1592,1.782183
181.3116,1.79132
181.4640,1.776644
181.6164,1.768411
181.7688,1.771448
181.9212,1.774678
182.0736,1.779016
182.2260,1.774564
182.3784,1.779946
182.5308,1.780123
182.6832,1.764159
182.8356,1.751687
182.9880,1.724402
183.1404,1.710239
183.2928,1.719449
183.4452,1.695549
183.5976,1.683488
183.7500,1.695799
183.9024,1.705661
184.0548,1.705312
184.2072,1.719931
184.3596,1.725845
184.5120,1.733055
184.6644,1.747679
184.8168,1.763316
184.9692,1.746857
185.1216,1.770351
185.2740,1.786234
185.4264,1.796682
185.5788,1.800993
185.7312,1.783381
185.8836,1.781554
186.0360,1.760805
186.1884,1.748597
186.3408,1.725552
186.4932,1.741899
186.6456,1.743583
186.7980,1.758227
186.9504,1.753105
187.1028,1.766334
187.2552,1.752191
187.4076,1.738102
187.5600,1.728926
187.7124,1.729758
187.8648,1.720402
188.0172,1.72223
188.1696,1.738624
188.3220,1.730305
188.4744,1.704238
188.6268,1.689327
188.7792,1.658292
188.9316,1.642371
189.0840,1.621064
189.2364,1.620587
189.3888,1.631313
189.5412,1.65899
189.6936,1.675251
189.8460,1.695667
189.9984,1.689486
190.1508,1.716843
190.3032,1.728438
190.4556,1.724561
190.6080,1.728621
190.7604,1.728029
190.9128,1.730914
191.0652,1.753255
191.2176,1.754857
191.3700,1.734954
191.5224,1.720411
191.6748,1.705998
191.8272,1.710202
191.9796,1.705287
192.1320,1.705989
192.2844,1.720486
192.4368,1.710184
192.5892,1.728211
192.7416,1.732665
192.8940,1.72148
193.0464,1.728063
193.1988,1.732336
193.3512,1.733994
193.5036,1.745317
193.6560,1.741454
193.8084,1.743057
193.9608,1.741486
194.1132,1.739097
194.2656,1.730433
194.4180,1.7346
194.5704,1.752611
194.7228,1.768304
194.8752,1.764165
195.0276,1.76973
195.1800,1.775678
195.3324,1.767491
195.4848,1.749592
195.6372,1.734571
195.7896,1.711259
195.9420,1.692693
196.0944,1.685764
196.2468,1.683745
196.3992,1.691365
196.5516,1.713418
196.7040,1.698723
196.8564,1.692743
197.0088,1.658164
197.1612,1.657336
197.3136,1.652122
197.4660,1.631302
197.6184,1.629412
197.7708,1.644151
197.9232,1.649881
198.0756,1.677848
198.2280,1.685882
198.3804,1.701229
198.5328,1.714838
198.6852,1.724068
198.8376,1.719629
198.9900,1.727446
199.1424,1.717054
199.2948,1.708041
199.4472,1.707237
199.5996,1.716753
199.7520,1.714125
199.9044,1.737079
200.0568,1.762536
200.2092,1.782879
200.3616,1.786967
200.5140,1.794014
200.6664,1.795898
200.8188,1.79546
200.9712,1.788367
201.1236,1.794814
201.2760,1.790664
201.4284,1.792298
201.5808,1.791599
201.7332,1.773431
201.8856,1.760925
202.0380,1.752653
202.1904,1.747503
202.3428,1.75085
202.4952,1.746917
202.6476,1.745125
202.8000,1.740561
202.9524,1.748564
203.1048,1.750304
203.2572,1.743794
203.4096,1.742251
203.5620,1.758924
203.7144,1.76812
203.8668,1.777274
204.0192,1.770259
204.1716,1.764583
204.3240,1.764564
204.4764,1.758196
204.6288,1.739929
204.7812,1.727084
204.9336,1.715748
205.0860,1.704851
205.2384,1.708611
205.3908,1.710859
205.5432,1.70902
205.6956,1.718724
205.8480,1.735329
206.0004,1.745342
206.1528,1.756506
206.3052,1.726972
206.4576,1.710366
206.6100,1.694046
206.7624,1.682387
206.9148,1.661076
207.0672,1.665396
207.2196,1.6564
207.3720,1.692074
207.5244,1.719587
207.6768,1.719027
207.8292,1.714259
207.9816,1.716977
208.1340,1.723111
208.2864,1.716624
208.4388,1.71615
208.5912,1.69887
208.7436,1.701635
208.8960,1.709813
209.0484,1.734605
209.2008,1.752026
209.3532,1.758562
209.5056,1.744077
209.6580,1.765481
209.8104,1.771333
