#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,0.1079
#BOTTOM:,757.3838
DEPTH_LSF,ROP5,RPM_GVR
m,m/h,c/min
107.7024,24.4392,51.99999
107.8548,23.67351,41.00006
108.0072,23.57109,49.98809
108.1596,22.44465,50
108.3120,23.12145,24.00012
108.4644,20.00189,49
108.6168,18.49335,46.00395
108.7692,20.92147,47.99737
108.9216,19.24592,47
109.0740,21.49125,44.99997
109.2264,23.47157,46
109.3788,23.83528,47
109.5312,28.6972,48
109.6836,29.86419,47
109.8360,26.49648,50.99608
109.9884,35.79987,48.0065
110.1408,44.16945,52
110.2932,45.31736,51
110.4456,51.16616,53
110.5980,35.80076,41.99876
110.7504,34.75342,52
110.9028,35.93092,49
111.0552,34.48779,49
111.2076,35.66239,48.99998
111.3600,34.36587,47
111.5124,29.46392,49.00255
111.6648,23.12586,50.00001
111.8172,22.57582,46
111.9696,22.29518,47.99998
112.1220,22.21412,49
112.2744,22.45666,50.99873
112.4268,21.6894,49
112.5792,22.05623,49
112.7316,19.51422,47.00253
112.8840,21.83409,42.00379
113.0364,19.90243,48
113.1888,21.63064,42.0139
113.3412,22.43952,29.00006
113.4936,20.41905,55
113.6460,23.26337,53
113.7984,22.87024,52
113.9508,21.99035,49
114.1032,19.66137,47.00002
114.2556,19.66929,48
114.4080,17.26091,45
114.5604,19.19429,48
114.7128,21.5099,42.00997
114.8652,20.7072,48
115.0176,22.39459,49
115.1700,23.51549,43.00002
115.3224,22.53634,48.00248
115.4748,22.70643,50.99629
115.6272,25.07088,45
115.7796,28.55636,46.99999
115.9320,26.38246,47
116.0844,28.988,48
116.2368,26.12936,50
116.3892,24.69468,48.98773
116.5416,26.50476,49
116.6940,23.22333,46.00002
116.8464,23.4558,46
116.9988,22.2519,46
117.1512,22.7135,35
117.3036,23.35934,39.99392
117.4560,23.96449,28.00006
117.6084,23.26098,31
117.7608,22.69848,41
117.9132,21.23024,50
118.0656,21.03372,47
118.2180,23.76486,52
118.3704,24.98932,43.00963
118.5228,23.31159,49.99997
118.6752,23.85798,52
118.8276,23.36138,53
118.9800,28.01885,53
119.1324,24.54066,40
119.2848,26.93815,37.00002
119.4372,30.30019,39.99643
119.5896,30.57549,41.99999
119.7420,28.89697,33
119.8944,27.64093,44.99288
120.0468,35.88283,42.00594
120.1992,30.57431,47.99999
120.3516,29.59581,54
120.5040,22.66618,53.00118
120.6564,26.25937,54
120.8088,26.87686,53
120.9612,25.71542,54.99998
121.1136,25.15576,58
121.2660,21.43001,56.00117
121.4184,22.31274,56
121.5708,18.16249,55
121.7232,17.72389,54.00001
121.8756,17.93153,47.00233
122.0280,22.40355,47
122.1804,22.4058,53
122.3328,21.55616,55
122.4852,20.86479,55
122.6376,19.18687,53.50288
122.7900,22.41247,53
122.9424,21.97912,53
123.0948,25.24252,54.99999
123.2472,25.93792,53.00001
123.3996,24.61504,56
123.5520,22.00569,51.00572
123.7044,19.95179,49.00001
123.8568,20.72287,48
124.0092,23.45352,57.99659
124.1616,20.76497,56
124.3140,21.2273,56
124.4664,21.71587,56
124.6188,22.53897,53.00001
124.7712,24.10535,55.00113
124.9236,25.81794,53.00001
125.0760,27.20506,55
125.2284,29.05157,61
125.3808,28.69401,54
125.5332,25.76567,51
125.6856,26.95491,56.99999
125.8380,27.62312,53
125.9904,27.24569,53.00224
126.1428,28.03987,49
126.2952,25.44491,54.9961
126.4476,25.31854,53.00001
126.6000,23.1035,53
126.7524,24.57082,39
126.9048,22.66043,39
127.0572,25.32884,39
127.2096,29.01085,45
127.3620,26.90586,50.9934
127.5144,23.37815,51
127.6668,24.02316,49
127.8192,24.69751,55
127.9716,20.01286,50.99781
128.1240,23.91502,51
128.2764,24.18184,54
128.4288,26.68299,47
128.5812,26.26951,47.00543
128.7336,29.40546,54
128.8860,29.76431,54
129.0384,36.9828,50
129.1908,34.57967,48.00108
129.3432,38.36092,51.99999
129.4956,47.45596,53.99999
129.6480,46.3651,40.01395
129.8004,45.18999,52.99995
129.9528,31.45561,46
130.1052,28.34442,50
130.2576,28.5124,53.99999
130.4100,27.03023,53.99894
130.5624,26.59167,54.00212
130.7148,25.13633,51
130.8672,25.54892,54
131.0196,28.90512,51.99999
131.1720,25.17621,52
131.3244,22.35336,53.49947
131.4768,27.80874,53.0021
131.6292,25.75604,54
131.7816,25.2474,53.99895
131.9340,26.25699,52.00001
132.0864,23.77647,52
132.2388,21.41722,55
132.3912,21.332,27.00011
132.5436,18.13362,53
132.6960,18.92808,56
132.8484,19.04197,46.00006
133.0008,16.78955,52
133.1532,18.30468,50.00206
133.3056,18.67368,49.99999
133.4580,15.81391,49.99996
133.6104,16.84762,51.99999
133.7628,19.96306,45.00003
133.9152,20.41398,54.99987
134.0676,22.53643,56
134.2200,24.0121,52
134.3724,22.22154,53
134.5248,26.32748,45
134.6772,27.82255,53
134.8296,24.79237,53
134.9820,27.66673,52.99899
135.1344,28.33311,54.99091
135.2868,23.95044,55
135.4392,22.23384,55
135.5916,24.1018,49
135.7440,23.27138,52.99499
135.8964,25.70383,51.00001
136.0488,25.53253,51
136.2012,25.18346,21.00012
136.3536,26.79075,21
136.5060,30.32362,21
136.6584,24.77272,58
136.8108,29.40314,56.97338
136.9632,25.99621,53
137.1156,22.3881,56
137.2680,21.47177,54
137.4204,18.99648,53.9941
137.5728,17.97073,54
137.7252,18.23843,54
137.8776,18.82036,56
138.0300,19.64532,55
138.1824,22.40154,50.00877
138.3348,20.45981,56.99998
138.4872,23.35314,59
138.6396,27.25226,54.9976
138.7920,27.20818,53
138.9444,29.95182,53
139.0968,34.2361,54.99807
139.2492,34.6144,54.00385
139.4016,35.8421,58
139.5540,26.46933,55.00288
139.7064,25.29769,41
139.8588,23.95613,57
140.0112,24.25088,60
140.1636,20.78641,56
140.3160,22.46411,56
140.4684,26.72061,26.00011
140.6208,22.72726,56
140.7732,19.99359,55.00094
140.9256,19.72301,54.00094
141.0780,24.66216,53
141.2304,23.14217,56
141.3828,27.06098,58
141.5352,26.40285,59
141.6876,33.154,59.99813
141.8400,28.95973,54
141.9924,24.88852,52.00278
142.1448,29.2904,61
142.2972,29.37059,57
142.4496,29.54154,53
142.6020,27.43032,53
142.7544,32.20406,58
142.9068,32.3988,58
143.0592,26.87675,61
143.2116,23.81999,65.99998
143.3640,24.85088,63
143.5164,25.94129,45.01642
143.6688,26.22167,45
143.8212,26.71064,61.96638
143.9736,26.84127,57.00001
144.1260,27.44851,51
144.2784,26.40145,56.0018
144.4308,24.41519,57.00001
144.5832,30.8541,62.9973
144.7356,27.76124,60.99732
144.8880,30.09433,61
145.0404,34.28945,61
145.1928,27.51826,58.00001
145.3452,31.86324,58
145.4976,27.74633,52.00002
145.6500,30.05252,52
145.8024,26.2418,64
145.9548,25.61455,53
146.1072,23.93107,52
146.2596,23.58352,54.99999
146.4120,23.54822,55
146.5644,23.47435,49
146.7168,26.64705,54
146.8692,23.14234,52.00656
147.0216,26.01211,62.99996
147.1740,21.39488,63
147.3264,21.98922,58
147.4788,24.10721,59.9974
147.6312,25.14107,59
147.7836,32.20471,61
147.9360,27.87798,63.99742
148.0884,27.77532,62.00001
148.2408,28.46959,62
148.3932,29.7127,58.00001
148.5456,29.22376,61.99999
148.6980,31.86757,60.00001
148.8504,38.03699,51
149.0028,35.03102,65
149.1552,34.16356,58.50127
149.3076,33.67616,59.00001
149.4600,32.14202,56.00253
149.6124,25.99181,60.00166
149.7648,26.87905,55.00756
149.9172,27.3599,64
150.0696,24.43084,63
150.2220,25.10722,62
150.3744,21.23632,63
150.5268,22.35487,52.00003
150.6792,20.47869,62.99998
150.8316,20.53628,58
150.9840,23.39879,58
151.1364,22.68774,46.00989
151.2888,22.47874,61.99995
151.4412,19.84305,55.00245
151.5936,21.64468,60
151.7460,22.89986,60
151.8984,27.23521,60
152.0508,22.57604,62
152.2032,23.66749,59
152.3556,23.76346,62.99999
152.5080,20.84805,62
152.6604,24.82206,65.99516
152.8128,25.03366,67
152.9652,24.79174,65
153.1176,24.92634,62.0016
153.2700,25.74865,63
153.4224,23.7365,63
153.5748,25.39158,57
153.7272,28.05509,59
153.8796,28.11922,55.00158
154.0320,26.73144,59
154.1844,23.98358,59
154.3368,22.65839,58.50118
154.4892,28.77468,43
154.6416,26.90714,61.99998
154.7940,26.13724,61.4957
154.9464,27.25374,62
155.0988,26.71878,61.00078
155.2512,26.66449,61
155.4036,25.02756,54
155.5560,30.7707,52
155.7084,35.30389,48.00001
155.8608,31.29388,48
156.0132,29.82806,48
156.1656,30.11194,52.99311
156.3180,26.93812,42
156.4704,28.59489,42
156.6228,28.4248,43
156.7752,26.47575,58
156.9276,25.22756,54
157.0800,25.30262,49.00002
157.2324,19.96284,49
157.3848,22.88932,53
157.5372,23.1468,53
157.6896,23.87777,55.9975
157.8420,25.7158,40
157.9944,25.2454,52
158.1468,28.46866,45
158.2992,25.66423,43.50481
158.4516,29.13957,51
158.6040,29.62574,51
158.7564,36.68714,57
158.9088,30.79095,54
159.0612,30.63299,55
159.2136,22.32631,56
159.3660,23.5202,56
159.5184,22.76763,53.00073
159.6708,23.52686,51
159.8232,27.8848,53
159.9756,22.30352,60
160.1280,22.10626,57
160.2804,21.34988,55
160.4328,23.9257,56.99857
160.5852,19.39871,55.00143
160.7376,25.47845,59.99998
160.8900,25.38111,55.00001
161.0424,22.76373,30
161.1948,19.97321,30
161.3472,19.73885,58
161.4996,23.3651,60
161.6520,23.05508,58
161.8044,27.07463,51
161.9568,21.43491,56
162.1092,27.27661,56.00279
162.2616,27.29146,51.00002
162.4140,24.30714,57.99998
162.5664,28.17294,59
162.7188,29.00954,55.00276
162.8712,29.65781,55
