#HOLE:,U1517A
#EXPEDITION:,372
#TOP:,0.1348
#BOTTOM:,186.6724
DEPTH_LSF,A16B,A16H,A16L,A22B,A22H,A22L,A28B,A28H,A28L,A34B,A34H,A34L,A40B,A40H,A40L
m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m
13.3936,1.415079,1.377704,1.445052,1.43284,1.399204,1.461688,1.451931,1.429521,1.471961,1.466151,1.452735,1.478459,1.471491,1.458472,1.483688
13.5460,1.423324,1.38715,1.453321,1.439677,1.407997,1.467489,1.456862,1.433517,1.478261,1.467307,1.453751,1.47981,1.468448,1.462426,1.473871
13.6984,1.425508,1.394137,1.451311,1.442128,1.413512,1.467222,1.45557,1.432398,1.476676,1.462774,1.446708,1.477454,1.464794,1.455295,1.473332
13.8508,1.432235,1.403353,1.456492,1.449517,1.42275,1.4736,1.461405,1.438868,1.482409,1.468932,1.452329,1.484539,1.474919,1.464603,1.484619
14.0032,1.436347,1.40831,1.460255,1.45433,1.431008,1.475471,1.465763,1.446566,1.483751,1.471903,1.455988,1.487011,1.476855,1.464359,1.488802
14.1556,1.438495,1.410677,1.462423,1.458851,1.437202,1.478734,1.472908,1.454819,1.490309,1.479808,1.46417,1.495145,1.483616,1.471879,1.495125
14.3080,1.436614,1.405258,1.463728,1.461024,1.437006,1.483508,1.475713,1.456139,1.494892,1.481979,1.465497,1.498352,1.486701,1.474976,1.498348
14.4604,1.436115,1.400768,1.467096,1.464046,1.436806,1.490243,1.478534,1.459246,1.49764,1.484439,1.470443,1.498342,1.491661,1.481056,1.502367
14.6128,1.440217,1.404052,1.472629,1.466724,1.440822,1.491789,1.482813,1.46506,1.500608,1.49186,1.476399,1.507813,1.500468,1.484522,1.517576
14.7652,1.439311,1.403195,1.471535,1.472898,1.448256,1.497271,1.496087,1.476514,1.517042,1.505285,1.488523,1.523717,1.510103,1.497799,1.523627
14.9176,1.460267,1.433688,1.485331,1.488143,1.46756,1.509526,1.505832,1.490543,1.522566,1.511659,1.501458,1.522837,1.514288,1.509046,1.519965
15.0700,1.462788,1.43962,1.484569,1.489097,1.473388,1.505131,1.505806,1.492804,1.519884,1.512599,1.499813,1.526836,1.518158,1.506768,1.531056
15.2224,1.467479,1.440308,1.494007,1.483974,1.458397,1.510666,1.496427,1.474134,1.52064,1.502407,1.483848,1.522733,1.504326,1.488472,1.521612
15.3748,1.47486,1.454831,1.494449,1.492536,1.471224,1.515181,1.503672,1.482185,1.527676,1.509334,1.488389,1.533265,1.513592,1.493796,1.536506
15.5272,1.474627,1.449134,1.500133,1.493913,1.468134,1.522074,1.505915,1.483158,1.531759,1.511967,1.492916,1.533778,1.515984,1.499811,1.534559
15.6796,1.482829,1.459665,1.506615,1.501226,1.477021,1.528338,1.514207,1.493387,1.538499,1.52258,1.506905,1.54106,1.528105,1.516417,1.541932
15.8320,1.495337,1.472285,1.520345,1.515575,1.492138,1.543476,1.528351,1.50915,1.55201,1.534331,1.521526,1.549981,1.53788,1.531006,1.546154
15.9844,1.49746,1.476357,1.520353,1.519645,1.498069,1.545544,1.535062,1.515557,1.559873,1.54362,1.525818,1.566924,1.549994,1.534119,1.571137
16.1368,1.507595,1.486321,1.531755,1.533048,1.512893,1.55855,1.547821,1.530214,1.571283,1.551849,1.537366,1.571137,1.553127,1.54309,1.566229
16.2892,1.51531,1.493409,1.541139,1.537197,1.51747,1.562567,1.551622,1.534576,1.574652,1.557976,1.542627,1.579095,1.56097,1.547123,1.580099
16.4416,1.532448,1.50535,1.568089,1.550674,1.528623,1.581287,1.56113,1.544851,1.583979,1.56508,1.553761,1.58076,1.567449,1.559611,1.578193
