#HOLE:,U1520A
#EXPEDITION:,372
#TOP:,0.1272
#BOTTOM:,104.3689
DEPTH_LSF,ROP5,RPM_GVR
m,m/h,c/min
101.0161,28.32527,58.00336
101.1685,25.61279,59
101.3209,22.67634,59
101.4733,20.43345,54.00001
101.6257,21.67557,54.99998
101.7781,22.47909,52.02036
101.9305,21.52202,57.9966
102.0829,22.87827,57
102.2353,22.92683,56
102.3877,25.83057,50.99424
102.5401,28.06181,56.99229
102.6925,33.01178,55
102.8449,39.58778,57.00344
102.9973,36.20017,57
103.1497,30.44606,57
103.3021,30.68849,57
103.4545,31.22098,57
103.6069,26.8677,57
103.7593,24.51467,57
103.9117,26.70024,57
104.0641,23.49854,57
104.2165,23.51381,57
104.3689,20.77526,57

