#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,0.0229
#BOTTOM:,332.5597
DEPTH_WMSF,TENS,CS,ETIM
m,lbf,m/h,s
50.9245,2152.725,219.1426,1907.959
51.0769,2315.111,218.9102,1905.407
51.2293,2289.06,220.252,1902.825
51.3817,2172.623,222.3813,1900.262
51.5341,2217.604,220.9805,1897.744
51.6865,2287.826,220.1177,1895.211
51.8389,2182.961,234.5049,1892.677
51.9913,2195.363,270.3329,1890.296
52.1437,2280.396,274.9051,1888.19
52.2961,2300.541,265.3257,1886.08
52.4485,2223.742,266.0325,1883.957
52.6009,2225.112,267.1489,1881.835
52.7533,2124.458,267.6417,1879.726
52.9057,2192.676,265.8723,1877.631
53.0581,2316.754,265.8788,1875.518
53.2105,2263.013,268.0917,1873.402
53.3629,2157.56,268.9603,1871.299
53.5153,2152.528,269.0043,1869.21
53.6677,2169.83,267.8437,1867.129
53.8201,2305.842,266.8488,1865.038
53.9725,2341.622,267.7856,1862.933
54.1249,2170.048,269.3464,1860.822
54.2773,2077.97,270.2237,1858.734
54.4297,2244.654,266.9709,1856.65
54.5821,2354.955,265.4945,1854.551
54.7345,2316.911,266.8623,1852.437
54.8869,2218.373,269.3148,1850.325
55.0393,2145.958,269.942,1848.231
55.1917,2194.561,269.1022,1846.152
55.3441,2358.978,266.1634,1844.07
55.4965,2388.871,265.406,1841.957
55.6489,2135.843,270.2295,1839.849
55.8013,2127.039,270.8424,1837.771
55.9537,2287.607,267.6364,1835.7
56.1061,2313.743,267.0048,1833.616
56.2585,2251.705,268.6062,1831.514
56.4109,2292.49,269.9307,1829.422
56.5633,2156.514,271.744,1827.318
56.7157,2181.98,271.0146,1825.247
56.8681,2186.919,270.9672,1823.174
57.0205,2300.6,266.4112,1821.121
57.1729,2257.227,264.917,1819.014
57.3253,2219.039,267.0732,1816.879
57.4777,2157.325,270.9527,1814.789
57.6301,2175.28,302.4518,1812.706
57.7825,2195,294.1129,1810.805
57.9349,2316.194,289.2764,1808.914
58.0873,2250.89,275.0304,1806.96
58.2397,2120.519,277.0632,1804.915
58.3921,2218.312,291.403,1802.89
58.5445,2249.547,367.7803,1800.92
58.6969,2243.749,461.7545,1799.266
58.8493,2286.152,515.0109,1797.958
59.0017,2307.082,523.5156,1796.857
59.1541,2350.026,524.9996,1795.778
59.3065,2327.531,535.6995,1794.709
59.4589,2238.728,542.1611,1793.672
59.6113,2154.648,542.9459,1792.661
59.7637,2150.957,542.4426,1791.66
59.9161,2200.176,542.3383,1790.67
60.0685,2210.46,542.3503,1789.657
60.2209,2286.525,541.9344,1788.651
60.3733,2354.098,542.1185,1787.651
60.5257,2364.567,542.2748,1786.64
60.6781,2281.909,542.0667,1785.634
60.8305,2190.196,543.1536,1784.639
60.9829,2138.899,542.4927,1783.639
61.1353,2221.208,541.439,1782.63
61.2877,2229.227,542.6791,1781.632
61.4401,2296.679,540.1837,1780.621
61.5925,2391.329,540.2272,1779.615
61.7449,2300.141,542.8278,1778.615
61.8973,2213.308,543.5579,1777.607
62.0497,2234.413,542.6506,1776.608
62.2021,2210.966,541.8708,1775.603
62.3545,2241.942,541.322,1774.615
62.5069,2297.82,540.0464,1773.594
62.6593,2276.183,539.7441,1772.6
62.8117,2310.748,539.496,1771.603
62.9641,2288.275,539.8081,1770.589
63.1165,2217.592,541.1758,1769.562
63.2689,2280.051,540.552,1768.555
63.4213,2314.245,541.7303,1767.57
63.5737,2270.838,543.6427,1766.56
63.7261,2347.097,541.1407,1765.55
63.8785,2321.781,541.8965,1764.54
64.0309,2272.515,541.7719,1763.528
64.1833,2227.531,542.7827,1762.52
64.3357,2200.514,542.1469,1761.53
64.4881,2226.686,541.2389,1760.527
64.6405,2336.236,540.541,1759.532
64.7929,2209.597,541.649,1758.521
64.9453,2325.93,538.3831,1757.51
65.0977,2355.507,539.9541,1756.497
65.2501,2216.509,542.1727,1755.471
65.4025,2264.978,540.9771,1754.483
65.5549,2362.456,540.2256,1753.479
65.7073,2274.443,543.0665,1752.468
65.8597,2226.93,540.4104,1751.458
66.0121,2224.317,540.4104,1750.462
66.1645,2243.959,540.4079,1749.449
66.3169,2238.956,540.1072,1748.453
66.4693,2173.457,542.5272,1747.441
66.6217,2347.434,538.9395,1746.429
66.7741,2296.215,538.5883,1745.417
66.9265,2195.135,543.6055,1744.407
67.0789,2177.571,543.7632,1743.412
67.2313,2200.859,544.345,1742.417
67.3837,2272.063,543.2185,1741.406
67.5361,2209.369,542.8676,1740.411
67.6885,2294.36,542.2814,1739.4
67.8409,2402.557,542.2392,1738.418
67.9933,2248.011,544.472,1737.409
68.1457,2164.041,541.9119,1736.399
68.2981,2197.519,541.6296,1735.401
68.4505,2227.895,538.908,1734.391
68.6029,2261.962,543.9743,1733.38
68.7553,2194.966,543.8757,1732.37
68.9077,2324.1,541.3784,1731.374
69.0601,2320.87,539.444,1730.379
69.2125,2186.41,543.0935,1729.37
69.3649,2116.596,544.0212,1728.357
69.5173,2170.04,542.2792,1727.359
69.6697,2258.421,540.4153,1726.349
69.8221,2201.626,540.8577,1725.352
69.9745,2264.274,540.0259,1724.358
70.1269,2343.353,538.0784,1723.351
70.2793,2358,537.1798,1722.34
70.4317,2193.142,542.614,1721.314
70.5841,2110.773,544.068,1720.311
70.7365,2155.152,543.5944,1719.315
70.8889,2212.504,542.9899,1718.32
71.0413,2210.533,544.2413,1717.312
