#HOLE:,U1517A
#EXPEDITION:,372
#TOP:,0.0129
#BOTTOM:,204.3508
DEPTH_LSF,GR_RAB
m,gAPI
24.0007,56.872
24.0312,56.37791
24.0616,55.8846
24.0921,55.39061
24.1226,54.89683
24.1531,54.40284
24.1836,53.90807
24.2140,53.41464
24.2445,53.30915
24.2750,53.20371
24.3055,53.09823
24.3360,52.99258
24.3664,52.88755
24.3969,53.14164
24.4274,53.39562
24.4579,53.65023
24.4884,53.90421
24.5188,54.15818
24.5493,54.30338
24.5798,54.44851
24.6103,54.59399
24.6408,54.73913
24.6712,54.8842
24.7017,54.9059
24.7322,54.92763
24.7627,54.94933
24.7932,54.97102
24.8236,54.99301
24.8541,55.37838
24.8846,55.76435
24.9151,56.14972
24.9456,56.53492
24.9760,56.92068
25.0065,57.92218
25.0370,58.92524
25.0675,59.92674
25.0980,60.9278
25.1284,61.92909
25.1589,62.50066
25.1894,63.07312
25.2199,63.64469
25.2504,64.216
25.2808,64.78731
25.3113,64.56149
25.3418,64.33622
25.3723,64.11085
25.4028,63.88558
25.4332,63.66022
25.4637,63.4731
25.4942,63.28643
25.5247,63.09969
25.5552,62.91302
25.5856,62.72557
25.6161,62.37593
25.6466,62.02643
25.6771,61.67678
25.7076,61.32729
25.7380,60.97579
25.7685,60.00827
25.7990,59.04118
25.8295,58.07366
25.8600,57.10463
25.8904,56.13783
25.9209,55.58617
25.9514,55.03477
25.9819,54.48312
26.0124,53.93061
26.0428,53.38006
26.0733,53.5387
26.1038,53.69726
26.1343,53.8559
26.1648,54.01479
26.1952,54.17271
26.2257,53.81911
26.2562,53.46565
26.2867,53.11205
26.3172,52.75788
26.3476,52.40413
26.3781,51.92685
26.4086,51.44978
26.4391,50.97155
26.4696,50.49448
26.5000,50.01747
26.5305,49.78514
26.5610,49.55291
26.5915,49.32012
26.6220,49.08789
26.6524,48.85536
26.6829,48.39139
26.7134,47.92669
26.7439,47.46272
26.7744,46.99895
26.8048,46.53523
26.8353,46.40696
26.8658,46.27848
26.8963,46.15021
26.9268,46.02199
26.9572,45.89414
26.9877,46.47806
27.0182,47.0629
27.0487,47.64682
27.0792,48.23048
27.1096,48.8146
27.1401,49.83247
27.1706,50.85193
27.2011,51.8698
27.2316,52.88723
27.2620,53.90527
27.2925,55.5129
27.3230,57.11662
27.3535,58.72104
27.3840,60.32476
27.4144,61.9292
27.4449,63.73545
27.4754,65.53728
27.5059,67.33992
27.5364,69.14176
27.5668,70.94608
27.5973,71.76966
27.6278,72.59288
