#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,0.0165
#BOTTOM:,756.3170
DEPTH_LSF,GR_RAB
m,gAPI
27.0827,79.13666
27.1132,79.23907
27.1437,79.3428
27.1742,79.44635
27.2047,79.54926
27.2351,79.65284
27.2656,79.81102
27.2961,79.97075
27.3266,80.12891
27.3571,80.28864
27.3875,80.44682
27.4180,80.4198
27.4485,80.39194
27.4790,80.36391
27.5095,80.33582
27.5399,80.30801
27.5704,80.19065
27.6009,80.07371
27.6314,79.95604
27.6619,79.8391
27.6923,79.72142
27.7228,79.59846
27.7533,79.47624
27.7838,79.35326
27.8143,79.23104
27.8447,79.10807
27.8752,79.00531
27.9057,78.90156
27.9362,78.79881
27.9667,78.69505
27.9971,78.59229
28.0276,78.55434
28.0581,78.51672
28.0886,78.47947
28.1191,78.44185
28.1495,78.40459
28.1800,78.40444
28.2105,78.40444
28.2410,78.40444
28.2715,78.40444
28.3019,78.40444
28.3324,78.40444
28.3629,78.40444
28.3934,78.40444
28.4239,78.40444
28.4543,78.40444
28.4848,78.27181
28.5153,78.13782
28.5458,78.00512
28.5763,77.87114
28.6067,77.73695
28.6372,77.30376
28.6677,76.86633
28.6982,76.43313
28.7287,75.9957
28.7591,75.5625
28.7896,75.09061
28.8201,74.62147
28.8506,74.1494
28.8811,73.68025
28.9115,73.20819
28.9420,73.03815
28.9725,72.87004
29.0030,72.70089
29.0335,72.53278
29.0639,72.36362
29.0944,72.36344
29.1249,72.36344
29.1554,72.36344
29.1859,72.36344
29.2163,72.36344
29.2468,72.36344
29.2773,72.36344
29.3078,72.36344
29.3383,72.36344
29.3687,72.36344
29.3992,72.40044
29.4297,72.43739
29.4602,72.47459
29.4907,72.51185
29.5211,72.54874
29.5516,72.65016
29.5821,72.75117
29.6126,72.85281
29.6431,72.95382
29.6735,73.05546
29.7040,73.34416
29.7345,73.63139
29.7650,73.9204
29.7955,74.20763
29.8259,74.4967
29.8564,75.09306
29.8869,75.69525
29.9174,76.29162
29.9479,76.8938
29.9783,77.49018
30.0088,78.14177
30.0393,78.7948
30.0698,79.44151
30.1003,80.09453
30.1307,80.74125
30.1612,81.30038
30.1917,81.85569
30.2222,82.41445
30.2527,82.96975
30.2831,83.5285
30.3136,84.12722
30.3441,84.72233
30.3746,85.32114
30.4051,85.91624
30.4355,86.51505
30.4660,87.06828
30.4965,87.62689
30.5270,88.18011
30.5575,88.73872
30.5879,89.2961
30.6184,89.6407
30.6489,89.98869
30.6794,90.33331
30.7099,90.68129
30.7403,91.02591
30.7708,91.11292
30.8013,91.19816
30.8318,91.28394
30.8623,91.36916
30.8927,91.45493
30.9232,91.18011
30.9537,90.90594
30.9842,90.63004
31.0147,90.35587
31.0451,90.07999
31.0756,89.15602
31.1061,88.23707
31.1366,87.31239
31.1671,86.39343
31.1975,85.46825
31.2280,83.85429
31.2585,82.2245
31.2890,80.61052
31.3195,78.98078
31.3499,77.36675
