#HOLE:,U1520A
#EXPEDITION:,372
#TOP:,33.3504
#BOTTOM:,96.1393
DEPTH_LSF,P16B,P16H,P16L,P22B,P22H,P22L,P28B,P28H,P28L,P34B,P34H,P34L,P40B,P40H,P40L
m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m
47.0664,0.964959,0.8982009,0.9649587,1.050974,0.9995031,1.053906,1.106936,1.070512,1.111507,1.147906,1.123836,1.152227,1.211398,1.206418,1.212743
47.2188,0.9075393,0.818354,0.9075388,1.008891,0.9063226,1.00992,1.061591,0.9762239,1.067799,1.096723,1.037855,1.103519,1.161673,1.128607,1.168367
47.3712,0.8673867,0.7593021,0.8673861,0.9654142,0.8534284,0.9654142,1.021791,0.9196942,1.024337,1.054328,0.9737096,1.05942,1.112764,1.066041,1.119079
47.5236,0.851247,0.7158337,0.851247,0.9090546,0.7556255,0.9090541,0.9635247,0.7999262,0.9635249,1.005966,0.8350238,1.007205,1.035713,0.8579715,1.043864
47.6760,0.8126578,0.709866,0.8126575,0.8862945,0.7638628,0.8862942,0.9262112,0.8018513,0.9262111,0.9534215,0.8282,0.9534221,1.007308,0.8662848,1.00852
47.8284,0.8836147,0.6908191,0.8836142,0.9515864,0.7322098,0.9515861,1.008117,0.7861252,1.010462,1.040743,0.8448528,1.051344,1.070406,0.8983765,1.086746
47.9808,0.9269183,0.8700555,0.9269176,0.9830211,0.9077927,0.9830207,1.038022,0.9382446,1.04244,1.075938,0.9442043,1.088767,1.095359,0.9346706,1.11656
48.1332,0.9595255,0.8877926,0.9595253,1.006596,0.9405457,1.007066,1.044486,0.981822,1.047619,1.073533,1.005356,1.079414,1.098842,1.026353,1.107581
48.2856,1.0496,0.962993,1.054603,1.072463,1.011401,1.0776,1.11172,1.057548,1.11904,1.138418,1.065626,1.151405,1.135914,1.038695,1.153551
48.4380,0.9895554,0.8698207,0.9895568,1.02723,0.9136766,1.030841,1.063041,0.9510605,1.071685,1.086089,0.9745674,1.098235,1.096579,0.993189,1.109258
48.5904,1.062402,0.9624931,1.069912,1.104261,1.031156,1.113633,1.141252,1.090474,1.150229,1.163628,1.129903,1.170563,1.177589,1.163255,1.180751
48.7428,1.058331,0.9705233,1.064373,1.088128,1.022872,1.094976,1.127091,1.069371,1.136192,1.155761,1.098175,1.167334,1.165298,1.116941,1.175598
48.8952,1.035782,0.9402301,1.039736,1.082005,1.007312,1.089332,1.127091,1.063886,1.137136,1.15918,1.10422,1.170475,1.181064,1.142885,1.190021
49.0476,1.046527,0.9369799,1.05261,1.100304,1.011935,1.11138,1.144957,1.080499,1.156958,1.180905,1.137477,1.191169,1.220375,1.195318,1.227765
49.2000,1.02309,0.8961744,1.026554,1.090884,0.9991704,1.10121,1.136958,1.074282,1.147829,1.163243,1.1103,1.174427,1.197764,1.146452,1.211529
49.3524,0.9531755,0.8125324,0.953176,1.042592,0.9298378,1.048315,1.093226,1.003076,1.103649,1.115802,1.037006,1.127293,1.153126,1.101681,1.163155
49.5048,1.000801,0.8563779,1.000938,1.087318,0.9950285,1.097261,1.145254,1.091456,1.155132,1.174652,1.14742,1.180655,1.221782,1.234847,1.218135
49.6572,0.9321362,0.7608691,0.9321361,1.020453,0.8644245,1.024346,1.071865,0.9389372,1.084065,1.097645,0.9798226,1.112594,1.129287,1.036468,1.145032
49.8096,0.9095162,0.7230712,0.9095154,0.9920319,0.8119558,0.9920331,1.043196,0.884088,1.051903,1.071655,0.9251862,1.085313,1.09862,0.9666818,1.115917
49.9620,0.9618993,0.8378459,0.9618981,1.033019,0.9436168,1.036392,1.085349,1.033001,1.090556,1.11509,1.081065,1.119712,1.141015,1.119336,1.144677
50.1144,1.008023,0.8679035,1.009347,1.068662,0.9677445,1.077092,1.122444,1.059059,1.132091,1.160423,1.131254,1.166238,1.195883,1.207186,1.193176
50.2668,0.9570258,0.7868894,0.9570258,1.031568,0.878824,1.037523,1.090409,0.9778923,1.103383,1.12408,1.039079,1.137647,1.140816,1.063469,1.155004
50.4192,0.9624721,0.774995,0.9624721,1.035865,0.8730974,1.043218,1.095107,0.9724572,1.110314,1.129732,1.028456,1.147215,1.148182,1.050811,1.167817
50.5716,0.952197,0.7809262,0.9521976,1.012716,0.8617075,1.015018,1.059609,0.9378325,1.068574,1.09306,0.9814628,1.106337,1.118286,1.005133,1.136111
50.7240,1.01539,0.8564396,1.018366,1.050549,0.9081526,1.059568,1.091103,0.9766425,1.104452,1.141308,1.05135,1.158214,1.196771,1.119901,1.218227
50.8764,1.004825,0.8757958,1.005544,1.057173,0.9382014,1.065514,1.100188,1.006764,1.111967,1.141149,1.076024,1.152904,1.192623,1.148389,1.203956
51.0288,0.9874318,0.8449147,0.9874313,1.077985,0.9864243,1.086674,1.151075,1.101416,1.160575,1.19802,1.174479,1.204055,1.251318,1.261079,1.248096
51.1812,0.9307165,0.7572065,0.9307148,1.064828,0.9531366,1.073712,1.154613,1.110869,1.163123,1.198043,1.19135,1.199693,1.264962,1.300139,1.253024
51.3336,0.8610093,0.6649477,0.8610076,0.9777092,0.7865631,0.977712,1.049412,0.873749,1.060763,1.085111,0.919748,1.104363,1.127595,0.9920554,1.151844
51.4860,0.8969162,0.689377,0.896916,0.9985069,0.8070022,0.9985068,1.062093,0.9156817,1.07375,1.100834,0.9804688,1.116743,1.137597,1.033303,1.157024
51.6384,0.9504029,0.7638355,0.9504028,1.046361,0.9140427,1.053899,1.134103,1.066177,1.145687,1.184608,1.146659,1.193725,1.204819,1.179922,1.211496
51.7908,1.006206,0.8361767,1.007488,1.075927,0.9632998,1.086604,1.159168,1.104083,1.170488,1.215837,1.189747,1.223337,1.233007,1.214391,1.238847
51.9432,1.046036,0.9147801,1.053445,1.116085,1.034428,1.128078,1.20442,1.193088,1.207382,1.271727,1.307181,1.25931,1.291635,1.329154,1.27724
52.0956,0.9977112,0.8494849,0.9977134,1.071749,0.9717446,1.080504,1.155059,1.112883,1.163288,1.216175,1.202734,1.219963,1.244357,1.22583,1.250549
52.2480,1.023479,0.8492092,1.028612,1.108096,0.9897133,1.12501,1.201878,1.153107,1.215256,1.265279,1.263629,1.265876,1.289913,1.303306,1.284585
52.4004,0.9189607,0.7121918,0.9189521,1.004868,0.811711,1.00605,1.068033,0.9091325,1.082276,1.107008,0.9696851,1.126968,1.128754,1.009483,1.149749
52.5528,0.72378,0.5594584,0.7237531,0.8166031,0.5977245,0.8165892,0.8777922,0.6199619,0.8777844,0.9133466,0.6388602,0.9133391,0.9682539,0.6765417,0.9682615
52.7052,0.9813267,0.8255841,0.9813057,1.024187,0.8760856,1.02854,1.074963,0.9636561,1.085336,1.116619,1.03861,1.128047,1.131126,1.056471,1.143623
52.8576,1.022577,0.938508,1.024706,1.025479,0.9112597,1.028875,1.058732,0.9578233,1.065845,1.087606,0.998108,1.097247,1.075306,0.9486729,1.08744
53.0100,1.117292,1.133403,1.11519,1.135762,1.16343,1.131566,1.197052,1.259497,1.183055,1.258327,1.348234,1.231272,1.262203,1.346039,1.236264
53.1624,1.028453,0.917899,1.032119,1.051639,0.9353679,1.058915,1.100586,1.014973,1.111306,1.148901,1.094224,1.159256,1.159676,1.09692,1.172784
53.3148,1.066262,1.012262,1.070346,1.092419,1.059531,1.095905,1.142632,1.138808,1.143269,1.178988,1.192713,1.176053,1.171531,1.182934,1.169209
53.4672,1.043147,0.9888118,1.045753,1.094934,1.027642,1.10263,1.134122,1.055489,1.147755,1.160045,1.074956,1.178538,1.184557,1.099266,1.206794
53.6196,1.104586,1.020435,1.115583,1.150487,1.089819,1.162235,1.203756,1.188052,1.207876,1.247163,1.282473,1.23624,1.2704,1.342669,1.246727
53.7720,1.04726,0.9188952,1.054683,1.096039,0.994928,1.108319,1.128452,1.049276,1.1415,1.144631,1.079018,1.156833,1.163646,1.111931,1.174582
53.9244,1.104682,1.02733,1.114699,1.155837,1.115182,1.163795,1.18635,1.168899,1.19045,1.196739,1.191497,1.19803,1.212213,1.228053,1.208049
54.0768,1.103187,1.026138,1.113004,1.132166,1.07402,1.14177,1.161018,1.12789,1.167692,1.179714,1.164652,1.183089,1.187596,1.178941,1.189622
54.2292,1.075115,1.046515,1.077518,1.122316,1.091638,1.12677,1.151079,1.12892,1.155148,1.163598,1.153448,1.165612,1.177897,1.17561,1.178393
54.3816,1.121238,1.077448,1.127642,1.152206,1.118688,1.158518,1.177526,1.157843,1.181902,1.19423,1.189241,1.195442,1.207808,1.21688,1.205463
54.5340,1.072099,0.907144,1.08802,1.117119,0.9934809,1.136698,1.150968,1.064115,1.168579,1.173373,1.111208,1.187743,1.199533,1.158526,1.210465
54.6864,1.071957,0.9953656,1.078481,1.115076,1.082109,1.119553,1.146764,1.139344,1.148054,1.169237,1.173223,1.16843,1.198925,1.225378,1.192615
54.8388,1.056453,0.9567661,1.063176,1.112336,1.053114,1.120446,1.153569,1.124467,1.159074,1.182319,1.169281,1.185284,1.219729,1.225398,1.218148
54.9912,1.045738,0.9600161,1.050275,1.101069,1.056383,1.106387,1.142427,1.121936,1.145926,1.173944,1.166597,1.175507,1.217439,1.236331,1.212346
55.1436,0.9204561,0.7966627,0.920455,1.015996,0.9105443,1.01792,1.074778,0.9943445,1.081957,1.126983,1.05885,1.137873,1.214179,1.166207,1.228357
55.2960,0.8644958,0.7693827,0.8644947,1.02196,0.9336413,1.024145,1.112679,1.066652,1.118888,1.205049,1.206671,1.204624,1.428326,1.482427,1.393234
55.4484,0.6424946,0.4961105,0.6424865,0.8164006,0.6588797,0.8163954,0.927336,0.7702111,0.9273331,1.022936,0.9014116,1.026196,1.280281,1.30243,1.272003
55.6008,0.6019951,0.4639548,0.6019947,0.7411888,0.5774736,0.7411883,0.8409154,0.6613775,0.8409148,0.9390395,0.763983,0.9390388,1.122372,1.019332,1.139005
55.7532,0.5386861,0.4546369,0.5386787,0.6575287,0.509484,0.6575189,0.7508406,0.5549169,0.7508307,0.8391619,0.6278585,0.8391527,1.002029,0.7742977,1.002662
55.9056,0.4207181,0.3104963,0.4207076,0.5081788,0.3210639,0.508165,0.5890937,0.3421255,0.5890797,0.6728547,0.3901783,0.6728415,0.7963159,0.4672552,0.7963163
56.0580,0.4184808,0.3179135,0.4184808,0.504692,0.3350238,0.504692,0.5844072,0.3598344,0.5844072,0.6597931,0.4039316,0.659793,0.7617193,0.4688837,0.7617193
56.2104,0.4204058,0.2989741,0.4204058,0.4734729,0.3049763,0.473473,0.5467572,0.3334028,0.5467572,0.6198725,0.3679984,0.6198725,0.6711366,0.3799162,0.6711366
56.3628,0.4789866,0.3770095,0.4789813,0.5425678,0.3957637,0.542565,0.6268264,0.431917,0.6268235,0.7071366,0.4643574,0.7071335,0.7601382,0.4715537,0.7601382
56.5152,0.6076086,0.4463165,0.6075969,0.6392367,0.4804158,0.6392258,0.7323402,0.5654842,0.7323281,0.8233908,0.6447452,0.823378,0.8260317,0.6402184,0.8260317
56.6676,0.7580917,0.6109131,0.7580831,0.7873061,0.6587825,0.7872981,0.8993011,0.7908148,0.8992922,1.008942,0.9224372,1.009795,0.9989175,0.9183254,0.9989175
56.8200,0.8347694,0.75873,0.834769,0.899078,0.8215362,0.899077,0.9822924,0.8789867,0.9822919,1.040714,0.929648,1.04608,1.064456,0.9877262,1.070253
56.9724,0.8503793,0.6963875,0.8503793,0.8981168,0.7485414,0.8981167,0.9778293,0.8062316,0.9778292,1.04291,0.8636637,1.052927,1.07245,0.921134,1.086839
