#HOLE:,U1517A,,
#EXPEDITION:,372,,
#TOP:,0.4396,,
#BOTTOM:,205.4176,,
DEPTH_LSF,DHAP,DHAT,ECD
m,psi,degC,g/cm3
43.8736,1149.002059,11,1.484308
44.026,1149.002059,11,1.479379
44.1784,1149.002059,11,1.474985
44.3308,1149.002059,11,1.470675
44.4832,1150.001951,11,1.479986
44.6356,1151.001988,11,1.489937
44.788,1151.002133,11,1.48519
44.9404,1150.002241,11,1.466919
45.0928,1152.0013,11,1.490431
45.2452,1149.002494,11,1.445198
45.3976,1151.002568,11,1.468087
45.55,1154.002099,11,1.505204
45.7024,1154.002099,11,1.500639
45.8548,1154.002099,11,1.496169
46.0072,1154.001954,11,1.493139
46.1596,1152.002025,11,1.459101
46.312,1157.00192,11,1.523576
46.4644,1152.002315,11,1.450705
46.6168,1152.002025,11,1.446427
46.7692,1151.002278,11,1.42774
46.9216,1156.001593,11,1.493004
47.074,1154.002244,11,1.461246
47.2264,1155.002136,11,1.469676
47.3788,1155.001991,11,1.465658
47.5312,1154.002389,11,1.448148
47.6836,1157.00192,11,1.483491
47.836,1155.001991,11,1.452358
47.9884,1154.002244,11,1.43478
48.1408,1158.002102,11,1.483946
48.2932,1155.002136,11,1.440034
48.4456,1156.002028,11,1.451084
48.598,1157.002065,11,1.458151
48.7504,1158.001957,11,1.468786
48.9028,1156.001883,11,1.43677
49.0552,1155.002716,11,1.42054
49.2076,1158.002247,11,1.454777
49.36,1159.002139,11,1.464131
49.5124,1159.001849,11,1.459656
49.6648,1157.00221,11,1.429419
49.8172,1159.001994,11,1.452422
49.9696,1157.00221,11,1.421352
50.122,1162.002105,11,1.483338
50.2744,1160.002176,11,1.452327
50.4268,1158.002247,11,1.422413
50.5792,1159.001994,11,1.431726
50.7316,1159.002139,11,1.427867
50.884,1160.001886,11,1.437188
51.0364,1159.002284,11,1.419845
51.1888,1160.002176,11,1.428827
51.3412,1161.002358,11,1.436898
51.4936,1163.001562,11,1.458029
51.646,1158.002392,11,1.392027
51.7984,1163.002142,11,1.45042
51.9508,1164.002179,11,1.458625
52.1032,1163.002142,11,1.442876
52.2556,1162.002105,11,1.426709
52.408,1165.001926,11,1.459812
52.5604,1163.002287,11,1.43086
52.7128,1166.001673,11,1.463791
52.8652,1164.001889,11,1.436387
53.0176,1163.001852,11,1.41976
53.17,1162.00225,11,1.403763
53.3224,1163.002432,11,1.412094
53.4748,1166.001963,11,1.445919
53.6272,1164.002179,11,1.417077
53.7796,1165.002071,11,1.425048
53.932,1164.002179,11,1.409471
54.0844,1165.002071,11,1.418131
54.2368,1165.002071,11,1.413819
54.3892,1163.002287,11,1.386684
54.5416,1162.00225,11,1.372451
54.694,1167.00142,11,1.426615
54.8464,1164.002469,11,1.387689
54.9988,1166.002108,11,1.408052
55.1512,1166.002108,11,1.404589
55.3036,1166.002108,11,1.400659
55.456,1166.002398,11,1.397842
55.6084,1169.002074,11,1.428654
55.7608,1169.002219,11,1.425237
55.9132,1171.002148,11,1.444997
56.0656,1169.002219,11,1.417941
56.218,1168.002182,11,1.403538
56.3704,1167.002145,11,1.388045
56.5228,1173.001352,11,1.453866
56.6752,1168.001892,11,1.392716
56.8276,1167.00258,11,1.377145
56.98,1169.002654,11,1.397485
57.1324,1172.002765,11,1.427511
57.2848,1176.001898,11,1.469927
