#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,0.1079
#BOTTOM:,749.0018
DEPTH_LSF,A16B,A16H,A16L,A22B,A22H,A22L,A28B,A28H,A28L,A34B,A34H,A34L,A40B,A40H,A40L
m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m
15.5003,1.147444,1.142543,1.148297,1.152767,1.147121,1.153793,1.164718,1.154331,1.166796,1.166784,1.159364,1.168285,1.154253,1.159173,1.153362
15.6527,1.131629,1.132741,1.131461,1.145523,1.149561,1.14484,1.153228,1.16372,1.151357,1.156562,1.169949,1.154124,1.158477,1.169404,1.15645
15.8051,1.124242,1.086021,1.12995,1.135766,1.115291,1.139073,1.148357,1.1375,1.150277,1.151233,1.142996,1.152717,1.143365,1.136774,1.144478
15.9575,1.116066,1.068657,1.122696,1.131248,1.098435,1.136432,1.141089,1.120715,1.144531,1.147699,1.129494,1.150935,1.153096,1.129846,1.157441
16.1099,1.129486,1.104012,1.133408,1.141529,1.125174,1.144287,1.148478,1.144473,1.14918,1.150529,1.15727,1.149346,1.150402,1.163459,1.148132
16.2623,1.126272,1.11493,1.127936,1.142996,1.127962,1.145558,1.152009,1.139746,1.154245,1.154362,1.144154,1.156252,1.154013,1.141368,1.156357
16.4147,1.109522,1.098238,1.11093,1.114438,1.0885,1.117904,1.125161,1.094599,1.129716,1.141656,1.109313,1.14724,1.15614,1.118064,1.163587
16.5671,1.113113,1.09431,1.115569,1.136301,1.126295,1.137902,1.149999,1.144044,1.151059,1.155206,1.156726,1.154927,1.157348,1.175147,1.154105
16.7195,1.122797,1.082728,1.128716,1.136338,1.11449,1.139891,1.145788,1.132071,1.148174,1.151937,1.136482,1.154767,1.156423,1.138919,1.159751
16.8719,1.133087,1.084223,1.141115,1.148982,1.120836,1.15411,1.161933,1.147328,1.164816,1.168034,1.160229,1.169628,1.168317,1.166576,1.16867
17.0243,1.147588,1.107126,1.155011,1.164919,1.136406,1.170792,1.175183,1.157183,1.179111,1.174835,1.168761,1.176133,1.168584,1.176875,1.166922
17.1767,1.157837,1.118596,1.165626,1.173693,1.145663,1.17984,1.180511,1.16015,1.185138,1.181137,1.167037,1.184323,1.181479,1.175948,1.182716
17.3291,1.169731,1.149881,1.17391,1.181597,1.174035,1.183295,1.18656,1.188394,1.18614,1.189556,1.197198,1.187789,1.194596,1.207551,1.191527
17.4815,1.161656,1.132667,1.167488,1.175343,1.159444,1.178804,1.181527,1.173771,1.183268,1.184091,1.179932,1.185036,1.187562,1.187478,1.187582
17.6339,1.15732,1.121756,1.164313,1.174922,1.145905,1.18135,1.183076,1.165994,1.187005,1.188306,1.181198,1.189973,1.19563,1.193161,1.196233
17.7863,1.151393,1.104257,1.160397,1.168521,1.138195,1.174952,1.178149,1.161403,1.181871,1.1814,1.17131,1.18367,1.18274,1.175695,1.184332
17.9387,1.159156,1.106337,1.169973,1.169535,1.137184,1.176468,1.179535,1.159026,1.184165,1.184012,1.169473,1.187364,1.182623,1.174757,1.184402
18.0911,1.154955,1.111027,1.163544,1.165613,1.137749,1.171376,1.177344,1.160514,1.181065,1.18065,1.174428,1.182034,1.174232,1.181052,1.172808
18.2435,1.153907,1.112567,1.161892,1.166566,1.148668,1.170238,1.178169,1.173541,1.179179,1.182582,1.182053,1.1827,1.179999,1.182527,1.179446
