#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,82.6989
#BOTTOM:,331.4157
DEPTH_WMSF,LCAL
m,in
151.1265,13.26764
151.2789,13.04852
151.4313,12.95994
151.5837,13.7779
151.7361,12.08061
151.8885,12.08635
152.0409,12.02678
152.1933,11.88919
152.3457,11.9099
152.4981,12.1185
152.6505,12.36527
152.8029,12.60419
152.9553,12.49699
153.1077,11.99136
153.2601,11.84346
153.4125,11.86941
153.5649,12.07461
153.7173,12.54494
153.8697,12.91319
154.0221,13.22084
154.1745,13.90047
154.3269,13.97403
154.4793,13.54259
154.6317,12.37447
154.7841,11.68906
154.9365,11.69246
155.0889,11.72486
155.2413,11.7976
155.3937,11.85796
155.5461,12.06588
155.6985,12.42002
155.8509,12.42201
156.0033,12.2061
156.1557,12.1722
156.3081,12.20356
156.4605,12.19658
156.6129,12.20646
156.7653,12.18113
156.9177,12.03631
157.0701,11.88409
157.2225,11.74698
157.3749,12.21213
157.5273,12.75502
157.6797,12.84776
157.8321,12.34741
157.9845,11.65525
158.1369,11.39488
158.2893,11.3789
158.4417,11.3771
158.5941,11.38001
158.7465,11.40758
158.8989,11.89992
159.0513,12.30173
159.2037,12.07853
159.3561,12.27235
159.5085,12.2416
159.6609,12.08042
159.8133,12.13354
159.9657,12.54931
160.1181,13.03578
160.2705,12.8383
160.4229,12.34895
160.5753,12.19819
160.7277,12.20746
160.8801,11.69735
161.0325,11.24831
161.1849,11.13127
161.3373,11.12102
161.4897,11.10594
161.6421,11.06479
161.7945,10.94825
161.9469,10.83369
162.0993,10.69691
162.2517,10.63094
162.4041,10.65356
162.5565,10.66649
162.7089,10.659
162.8613,10.6554
163.0137,10.66669
163.1661,10.68523
163.3185,10.70378
163.4709,10.74718
163.6233,10.78003
163.7757,10.80213
163.9281,10.79747
164.0805,10.78577
164.2329,10.78577
164.3853,10.79636
164.5377,10.79652
164.6901,10.78782
164.8425,10.78784
164.9949,10.85421
165.1473,10.95272
165.2997,11.00583
