#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,0.0165
#BOTTOM:,752.1717
DEPTH_LSF,GRMA_FILT
m,gAPI
21.6268,17.29526
21.6573,16.79454
21.6878,16.2907
21.7182,15.78998
21.7487,15.28615
21.7792,14.53442
21.8097,13.78693
21.8402,13.0348
21.8706,12.28731
21.9011,11.53523
21.9316,11.06061
21.9621,10.58135
21.9926,10.10672
22.0230,9.627468
22.0535,9.152829
22.0840,10.02187
22.1145,10.90047
22.1450,11.77055
22.1754,12.64914
22.2059,13.51924
22.2364,13.37205
22.2669,13.2216
22.2974,13.07021
22.3278,12.91975
22.3583,12.76836
22.3888,12.61697
22.4193,12.46652
22.4498,12.31513
22.4802,12.16467
22.5107,12.01328
22.5412,11.20318
22.5717,10.38486
22.6022,9.574453
22.6326,8.756157
22.6631,7.940527
22.6936,8.031021
22.7241,8.122401
22.7546,8.212895
22.7850,8.304275
22.8155,8.394771
22.8460,8.621949
22.8765,8.848364
22.9070,9.076186
22.9374,9.302602
22.9679,9.530419
22.9984,10.04106
23.0289,10.54935
23.0594,11.06081
23.0898,11.5691
23.1203,12.08055
23.1508,12.64756
23.1813,13.22019
23.2118,13.79182
23.2422,14.35991
23.2727,14.93051
23.3032,14.22792
23.3337,13.51844
23.3642,12.81584
23.3946,12.10638
23.4251,11.40376
23.4556,10.26284
23.4861,9.126658
23.5166,7.983418
23.5470,6.838152
23.5775,5.703978
23.6080,5.040427
23.6385,4.382639
23.6690,3.72076
23.6994,3.062972
23.7299,2.401098
23.7604,2.880573
23.7909,3.358964
23.8214,3.840331
23.8518,4.318722
23.8823,4.800027
23.9128,4.948206
23.9433,5.097836
23.9738,5.246017
24.0042,5.395643
24.0347,5.543828
24.0652,5.364121
24.0957,5.182129
24.1262,5.001904
24.1567,4.819915
24.1871,4.639685
24.2176,5.17429
24.2481,5.708522
24.2786,6.246077
24.3091,6.780309
24.3395,7.317856
24.3700,7.440208
24.4005,7.56086
24.4310,7.682262
24.4615,7.802913
24.4919,7.924315
24.5224,7.627185
24.5529,7.326963
24.5834,7.029643
24.6139,6.729428
24.6443,6.428711
24.6748,5.417896
24.7053,4.397173
24.7358,3.386349
24.7663,2.365649
24.7967,1.3548
24.8272,2.221131
24.8577,3.090982
24.8882,3.966242
24.9187,4.836094
24.9491,5.711341
24.9796,5.713881
25.0101,5.713881
25.0406,5.713881
25.0711,5.713881
25.1015,5.713881
25.1320,6.452341
25.1625,7.198812
25.1930,7.944003
25.2235,8.684566
25.2539,9.428673
25.2844,8.827841
25.3149,8.221121
25.3454,7.620279
25.3759,7.013574
25.4063,6.412717
25.4368,7.263474
25.4673,8.116732
25.4978,8.975291
25.5283,9.835373
25.5587,10.68712
25.5892,10.42611
25.6197,10.1628
25.6502,9.897852
25.6807,9.634544
25.7111,9.3696
25.7416,9.340278
25.7721,9.31153
