#HOLE:,U1520B
#EXPEDITION:,372
#TOP:,0.1079
#BOTTOM:,757.3838
DEPTH_LSF,RES_BD,RES_BIT,RES_BM,RES_BS,RES_RING
m,ohm.m,ohm.m,ohm.m,ohm.m,ohm.m
46.8947,1.131124,1.135297,0.8347044,0.702909,1.27859
47.0471,1.26639,1.158481,0.8515573,0.6354178,1.013448
47.1995,1.318973,1.098496,0.8414819,0.6077901,0.9282783
47.3519,1.126283,1.147595,0.9283682,0.6973555,0.9926626
47.5043,0.9240907,1.131007,1.085635,0.8121254,0.9860258
47.6567,1.023602,1.20753,1.051024,0.8150385,0.8839688
47.8091,1.217351,1.231001,0.8276314,0.8426336,0.9753055
47.9615,1.174222,1.129271,0.7836976,0.7982658,1.205553
48.1139,1.270417,1.125857,0.8960859,0.7639625,1.080093
48.2663,1.153661,1.170145,1.024683,0.8567517,1.02046
48.4187,1.004868,1.129937,1.067865,0.9252667,0.8977264
48.5711,1.009609,1.075711,1.132575,0.9353971,0.8069518
48.7235,1.287001,1.098713,0.8842099,1.050362,1.030729
48.8759,1.150908,1.224657,0.8866956,1.02258,1.200572
49.0283,1.132064,1.272181,1.125371,1.076021,1.089214
49.1807,0.9764287,1.262225,0.8239279,1.050187,1.000108
49.3331,1.140711,1.198329,0.7221068,0.8386256,0.9936795
49.4855,1.291963,1.167841,0.7154224,0.9896696,1.064331
49.6379,1.010574,1.294302,0.7898296,0.7121091,1.052783
49.7903,1.44101,1.105623,0.9953187,0.8758023,0.8823258
49.9427,0.9160423,1.211164,1.004931,0.7392623,1.146466
50.0951,1.315133,1.177729,0.9387283,0.7688687,0.9465949
50.2475,1.005806,1.060308,0.9631593,0.6917014,0.8678968
50.3999,0.9743447,1.08891,0.9072946,0.6452684,1.032628
50.5523,0.8929809,1.09358,0.919075,0.602042,1.078335
50.7047,0.9244502,1.092191,0.6935042,0.5971769,0.9323044
50.8571,0.798107,1.160081,0.846293,0.6173296,1.01361
51.0095,0.9042246,1.049081,0.9944113,0.6047096,0.9745664
51.1619,1.068462,1.005006,1.069446,0.6303023,1.074601
51.3143,0.9957455,1.009734,0.9990276,0.687695,1.262335
51.4667,0.912065,0.9328673,0.9841785,0.8351697,1.143449
51.6191,0.8644164,1.009035,1.147413,0.6148013,0.95219
51.7715,1.27392,0.9512722,0.8341559,0.6096241,0.7530361
51.9239,0.8002094,0.9947135,0.8619449,0.4452784,1.257744
52.0763,1.129622,1.041419,0.7197993,0.7005028,0.8913752
52.2287,0.963217,1.060813,0.962195,0.5614849,0.9403517
52.3811,0.9458834,1.24887,0.8736367,0.5011912,0.9335545
52.5335,0.8659414,1.145119,0.8197305,0.6111119,0.8805679
52.6859,0.9206685,1.087013,0.9829001,0.5407088,0.8693959
52.8383,1.040231,1.09498,0.7290136,0.5896949,0.959397
52.9907,0.9385394,1.224698,0.869892,0.6503685,1.059113
53.1431,1.022048,1.200061,0.9177012,0.5758446,1.014253
53.2955,1.110368,1.024301,0.8877755,0.6230801,1.063841
53.4479,0.9879217,1.261282,1.051758,0.8720179,1.131827
53.6003,1.102003,1.044382,1.204246,0.8178049,0.9738204
53.7527,1.29216,1.126184,1.062674,0.6651978,1.109498
53.9051,1.208496,1.133328,0.9254096,0.6052975,1.267641
54.0575,1.071295,1.183098,0.8907624,0.6856975,1.189939
54.2099,1.004556,1.189699,0.9485553,0.7493458,1.123443
54.3623,1.06812,1.08824,1.040267,0.7351288,1.079922
54.5147,1.106515,1.27013,1.240878,0.726732,1.116376
54.6671,1.164298,1.075335,1.039835,0.8712882,1.150222
54.8195,1.219844,1.231394,1.142835,0.7991736,1.07773
54.9719,1.207579,1.311842,1.086234,0.7390621,1.159088
55.1243,1.199348,1.086618,1.068567,1.007688,0.9922768
55.2767,1.214168,1.096547,0.9459245,0.9811162,1.023397
55.4291,0.915444,1.138054,0.9205771,0.7475756,1.130441
55.5815,1.062848,1.092192,0.8702243,0.5772,1.031514
55.7339,1.002862,1.053684,1.06074,0.8867582,1.277502
55.8863,1.173937,1.08194,0.9287174,0.6332896,0.9914316
56.0387,0.7357795,0.8722753,0.7930041,0.5048168,0.8551527
56.1911,1.001695,0.8542487,0.7671019,0.5792167,0.722903
56.3435,0.7663739,0.8461308,0.6804971,0.4344426,0.9205198
56.4959,0.8174538,0.8220161,0.511267,0.4446857,0.6892999
56.6483,0.5576359,0.8188675,0.5235957,0.5185725,0.869138
56.8007,0.7301775,0.9911509,0.9548211,0.5421901,0.7630628
56.9531,0.7041306,0.8476065,0.7170462,0.5490449,1.092598
57.1055,0.7250551,0.9664468,0.6573543,0.5841775,1.024772
57.2579,0.7717041,1.194129,0.7780532,0.6625167,1.065928
57.4103,0.9647506,1.269375,0.8212445,0.8733486,1.245209
57.5627,1.158384,1.113925,0.9311648,0.8413604,1.091885
57.7151,1.013877,1.107732,1.051702,0.7229255,1.031208
57.8675,0.9857641,1.062296,1.117708,0.7869431,1.124302
58.0199,1.082624,1.039742,1.130478,0.6937572,1.121249
58.1723,1.144259,1.174277,0.9479992,0.7235724,1.107908
58.3247,0.9689515,1.122735,1.03091,0.5929089,1.202451
58.4771,1.017048,1.189849,0.8588842,0.6949844,1.06594
58.6295,0.9219247,1.128889,0.9461214,0.7133566,1.116722
58.7819,1.085509,1.047092,1.131657,0.7052316,0.9036354
58.9343,1.058186,1.044408,0.8607862,0.7482399,1.178087
59.0867,0.9627526,1.355053,0.8421738,0.5709926,1.155555
59.2391,0.9428293,1.059832,0.9219819,0.6150322,1.119179
59.3915,1.114557,1.391288,0.9489591,0.7353784,1.071206
59.5439,0.9131978,1.183346,0.9078304,0.7654991,1.130617
59.6963,0.8436266,1.043734,0.8661209,0.8804629,1.182413
59.8487,1.123941,1.030681,1.241618,0.7349073,1.053458
60.0011,1.396367,1.179391,1.16215,0.7022484,1.052098
60.1535,1.165798,1.159265,1.145002,0.6767639,1.284763
60.3059,1.204155,1.088455,1.045935,0.7464795,1.318844
60.4583,1.054036,1.034878,1.014104,0.6628071,1.191633
60.6107,1.285004,0.9873196,0.8507885,0.6076799,0.9718656
60.7631,1.15057,0.9470568,0.9293083,0.7421677,1.137997
60.9155,0.8252179,0.9711692,0.9571768,0.7330384,1.265271
61.0679,1.156377,0.9393172,0.98129,0.8589547,0.9298737
61.2203,1.02147,1.154225,1.193009,0.8788311,1.233535
61.3727,1.198562,1.362172,1.110535,0.6585582,0.9869837
61.5251,1.205379,1.141926,0.7661916,0.8457418,1.206913
61.6775,0.8470313,1.283609,1.265707,0.6996204,1.304251
61.8299,1.26732,1.173724,0.870445,0.8604946,0.897819
61.9823,0.9084594,1.272062,1.286609,0.6357998,1.211685
62.1347,1.12579,1.055169,0.8521935,0.4505236,1.055132
62.2871,0.7164891,1.231905,0.5776579,0.5624179,1.110257
62.4395,0.8198189,0.9563009,0.7926081,0.6378281,0.7596365
62.5919,1.004077,1.154476,0.8226767,0.5804019,1.174859
62.7443,1.158218,1.452446,0.6727452,0.5409617,1.233209
62.8967,1.154782,1.100323,0.6336719,0.5178012,1.193713
63.0491,1.08941,1.11916,0.6514356,0.5791847,1.13695
63.2015,0.9512991,1.167116,0.7536188,1.038654,1.153893
63.3539,0.9910947,1.094351,1.022827,0.7188795,1.254366
