#HOLE:,U1528D
#EXPEDITION:,376
#TOP:,0.0229
#BOTTOM:,325.0921
DEPTH_WMSF,HSGR,HCGR,HFK,HTHO,HURA,HBHK
m,gAPI,gAPI,%,ppm,ppm,%
25.7785,4.661842,3.661024,0.02257155,1.041217,0.1585282,-0.0436
25.9309,4.428652,3.121316,0.0222645,0.8700371,0.2130864,-0.0436
26.0833,3.74558,2.670493,0.01693336,0.7567595,0.1823964,-0.0436
26.2357,3.35106,2.925396,0.01996377,0.8207142,0.1009224,-0.0436
26.3881,3.479611,3.176652,0.02084902,0.8960596,0.09489178,-0.0436
26.5405,3.748796,3.57836,0.03303387,0.9534696,0.09759942,-0.0436
26.6929,4.210498,4.546301,0.05000272,1.16435,0.04153854,-0.0436
26.8453,4.903273,6.090797,0.06347588,1.580483,-0.04997246,-0.0436
26.9977,5.328437,6.747361,0.07429966,1.727544,-0.05545905,-0.0436
27.1501,5.255102,6.346909,0.07120844,1.617296,-0.005931459,-0.0436
27.3025,4.6346,4.939578,0.05960675,1.234167,0.08307391,-0.0436
27.4549,4.28465,4.120566,0.05435823,1.002401,0.1432286,-0.0436
27.6073,4.4656,4.01628,0.04125737,1.045678,0.2134916,-0.0436
27.7597,4.789427,4.007502,0.04259949,1.035007,0.2714725,-0.0436
27.9121,5.141409,3.586377,0.02867799,0.9815413,0.3779682,-0.0436
28.0645,5.469788,3.875039,0.04397906,0.9844756,0.4038737,-0.0436
28.2169,5.43791,3.752071,0.04854987,0.9183035,0.4010372,-0.0436
28.3693,5.160934,2.881057,0.0345278,0.7212361,0.4455174,-0.0436
28.5217,4.876917,1.955428,0.0302089,0.449856,0.4742871,-0.0436
28.6741,4.921418,1.754407,0.03154632,0.3775983,0.4651558,-0.0436
28.8265,4.953666,1.645103,0.02363921,0.3888595,0.4749214,-0.0436
28.9789,4.862165,1.548621,0.01838975,0.3886704,0.4615175,-0.0436
29.1313,5.421575,2.206457,0.001348447,0.6992791,0.4228409,-0.0436
29.2837,5.936805,2.718328,-0.000535161,0.8743626,0.4097833,-0.0436
29.4361,6.364976,2.717731,-0.006556337,0.9094232,0.4815361,-0.0436
29.5885,5.745932,2.582471,-0.009665756,0.8842764,0.4268719,-0.0436
29.7409,5.397693,2.569321,-0.02207232,0.952698,0.3672267,-0.0436
29.8933,5.094808,2.824197,-0.02228224,1.035615,0.3127802,-0.0436
30.0457,5.078131,3.320659,-0.02361657,1.202544,0.2807392,-0.0436
30.1981,5.00862,3.775411,-0.04102617,1.45022,0.2853995,-0.0436
30.3505,4.336999,2.937301,-0.05773844,1.279449,0.3200601,-0.0436
30.5029,4.376329,3.130875,-0.0627613,1.370897,0.3101345,-0.0436
30.6553,4.705594,3.553529,-0.04786872,1.419167,0.323957,-0.0436
30.8077,5.242362,3.184816,-0.03395025,1.219506,0.4691322,-0.0436
30.9601,5.307111,2.928065,-0.01887444,1.048953,0.4940628,-0.0436
31.1125,5.025807,2.792141,-0.007280318,0.9375104,0.436724,-0.0436
31.2649,5.101565,3.114952,0.013897,0.916986,0.387578,-0.0436
31.4173,4.80106,2.520191,0.009705313,0.7509047,0.4011189,-0.0436
31.5697,5.081228,2.300738,0.01089817,0.6735859,0.476034,-0.0436
31.7221,5.37543,1.892288,0.01719625,0.5058041,0.5454263,-0.0436
31.8745,5.173207,1.135284,0.02768073,0.2017996,0.5611891,-0.0436
32.0269,4.753055,1.510856,0.04965595,0.1935141,0.4417417,-0.0436
32.1793,4.917039,1.462565,0.05790855,0.1297207,0.4568788,-0.0436
32.3317,5.255105,1.696452,0.05385685,0.2284033,0.4298144,-0.0436
32.4841,5.065131,1.669689,0.05625649,0.2057765,0.4203088,-0.0436
32.6365,4.338765,1.649278,0.05469469,0.2083786,0.3404736,-0.0436
32.7889,4.903768,2.164782,0.0583048,0.3524628,0.3352137,-0.0436
32.9413,5.519508,2.268593,0.06939222,0.3208214,0.4079061,-0.0436
33.0937,6.217464,2.762889,0.08700641,0.3761195,0.4234001,-0.0436
33.2461,5.66567,2.209956,0.06225037,0.3438411,0.3667169,-0.0436
33.3985,5.081631,3.015476,0.05721232,0.6315076,0.2208846,-0.0436
33.5509,4.311816,2.744774,0.05665861,0.5479892,0.1596301,-0.0436
33.7033,4.874132,3.281976,0.06721827,0.6583405,0.1516802,-0.0436
33.8557,5.522381,3.769463,0.07969914,0.7415097,0.1807252,-0.0436
34.0081,5.880051,3.990463,0.08315199,0.7921255,0.2038352,-0.0436
34.1605,5.321463,3.733317,0.06298794,0.827763,0.1663687,-0.0436
34.3129,4.560018,3.247339,0.03597486,0.8301584,0.121719,-0.0436
34.4653,4.062372,2.309958,0.02267905,0.6075683,0.1928297,-0.0436
34.6177,3.688549,2.198788,0.0154978,0.6139817,0.1589786,-0.0436
34.7701,3.923589,2.409942,0.0177313,0.6685805,0.1842263,-0.0436
34.9225,4.228232,2.607121,0.02736829,0.6753559,0.2078924,-0.0436
35.0749,4.575747,2.419456,0.02975831,0.601216,0.2752104,-0.0436
35.2273,4.711854,2.094937,0.008482128,0.6217713,0.3669412,-0.0436
35.3797,4.621298,1.77268,-0.002105063,0.5804718,0.3983296,-0.0436
35.5321,4.813552,1.797446,-0.008819781,0.6277217,0.3993164,-0.0436
35.6845,4.716938,1.728546,-0.006167203,0.5901092,0.3878566,-0.0436
35.8369,4.774884,1.850484,-0.001310049,0.6007534,0.3553044,-0.0436
35.9893,4.569754,1.892632,-0.001325078,0.6143498,0.3328997,-0.0436
36.1417,4.420176,2.230068,0.006059621,0.6792641,0.2837764,-0.0436
36.2941,4.263608,2.057462,0.003873999,0.6367396,0.2863438,-0.0436
36.4465,4.085939,2.235227,-0.0005515146,0.7196234,0.2257052,-0.0436
36.5989,4.083742,2.426452,0.0007139014,0.7735029,0.1955798,-0.0436
36.7513,4.142743,2.088869,-0.008330578,0.718259,0.2181548,-0.0436
36.9037,4.689596,2.777846,-0.001027275,0.8963192,0.1719328,-0.0436
37.0561,4.586977,2.994874,0.005475934,0.9278032,0.138356,-0.0436
37.2085,4.348164,3.162326,0.0157395,0.9213822,0.1082815,-0.0436
37.3609,3.918028,2.799171,0.01375141,0.8166299,0.1229103,-0.0436
37.5133,3.599654,2.220593,0.01124168,0.6458883,0.1785705,-0.0436
37.6657,3.38528,1.881604,0.01623153,0.5080277,0.188875,-0.0436
37.8181,3.583172,1.869916,0.01473083,0.513068,0.1987492,-0.0436
37.9705,4.490399,2.015391,0.009598844,0.5897388,0.2908583,-0.0436
38.1229,4.988311,1.890891,0.005811237,0.5720114,0.3784441,-0.0436
38.2753,4.913632,1.864943,0.00983028,0.5401652,0.37848,-0.0436
38.4277,4.833659,2.128099,0.0183212,0.5747957,0.3404748,-0.0436
38.5801,5.073332,2.423077,0.021749,0.6492683,0.340366,-0.0436
38.7325,5.239751,2.577924,0.02674819,0.6696283,0.3361006,-0.0436
38.8849,5.293957,2.507857,0.02491735,0.6578906,0.3508506,-0.0436
39.0373,5.682034,2.944488,0.02390373,0.8037663,0.3425095,-0.0436
39.1897,6.442181,3.90042,0.0305392,1.071296,0.2993915,-0.0436
39.3421,7.006817,4.358798,0.02811257,1.232414,0.3183145,-0.0436
